River,location,Date,Family,Tray weight,num.eggs,total.wet.wt,total.dry.wt,wet.weigth.all,wet.wt/egg
Kup,Kup,6/13/17,K-01,0.057,16,0.214,0.109,0.157,0.01
Kup,Kup,6/13/17,K-02,0.057,22,0.257,0.122,0.2,0.009
Kup,Kup,6/13/17,K-03,0.063,13,0.202,0.107,0.139,0.011
Kup,Kup,6/13/17,K-04,0.061,26,0.278,0.133,0.217,0.008
Kup,Kup,6/13/17,K-05,0.058,19,0.225,0.112,0.167,0.009
Kup,Kup,6/13/17,K-06,0.059,31,0.319,0.136,0.26,0.008
Kup,Kup,6/13/17,K-07,0.058,11,0.158,0.091,0.1,0.009
Kup,Kup,6/13/17,K-08,0.064,16,0.233,0.116,0.169,0.011
Kup,Kup,6/13/17,K-09,0.058,14,0.207,0.102,0.149,0.011
Kup,Kup,6/13/17,K-10,0.065,14,0.198,0.105,0.133,0.01
Kup,Kup,6/13/17,K-11,0.065,36,0.417,0.167,0.352,0.01
Kup,Kup,6/13/17,K-12,0.06,20,0.238,0.115,0.178,0.009
Kup,Kup,6/13/17,K-13,0.06,34,0.368,0.155,0.308,0.009
Kup,Kup,6/13/17,K-14,0.056,15,0.225,0.104,0.169,0.011
Kup,Kup,6/13/17,K-15,0.059,10,0.176,0.095,0.117,0.012
Kup,Kup,6/13/17,K-16,0.06,19,0.237,0.118,0.177,0.009
Sag,O3,6/13/17,O3-01,0.082,17,0.245,,0.163,0.01
Sag,O3,6/13/17,O3-02,0.076,32,0.356,,0.28,0.009
Sag,O3,6/15/17,O3-04,0.073,11,0.172,,0.099,0.009
Sag,O3,6/15/17,O3-05,0.07,14,0.175,,0.105,0.008
Sag,O3,6/15/17,O3-06,0.074,16,0.202,,0.128,0.008