Location,Family,reared_wild,TreatmentTank,CG.temp,Resp.temp,Run,Tank,Probe,DO_channel,back.slope,slope1,slope2,slope3,Vr.ml,Va.ml,length.mm,Ma.g,num_per_resp,Comments,,
Kuparuk,K5,reared,T3,16,16,1,1,1,1,-0.001544,-0.0161,-0.0086,-0.007828,202,0.315,38.78,0.315,1,,,
Kuparuk,K4,reared,T3,16,16,1,1,2,2,-0.003281,-0.01096,-0.01083,-0.01876,202,0.314,37.19,0.314,1,,,
Sagavanirktok,O1,reared,T3,16,16,1,1,3,3,-0.003649,-0.01445,-0.01268,-0.01644,199,0.227,35.59,0.227,1,,,
Sagavanirktok,O6,reared,T2,12,12,1,2,4,1,-0.001442,-0.005629,-0.00439,-0.003476,200,0.115,28.29,0.115,1,,,
Kuparuk,K5,reared,T2,12,12,1,2,6,2,-0.0007453,-0.008241,-0.009181,-0.009857,204,0.21,34.44,0.21,1,,,
Kuparuk,K1,reared,T2,12,12,1,3,7,1,-0.001647,-0.009843,-0.009512,-0.01024,204,0.2,32.2,0.2,1,,,
Sagavanirktok,O4,reared,T2,12,12,1,3,8,2,-0.003214,-0.007081,-0.007994,-0.009111,204,0.171,31.92,0.171,1,,,
Sagavanirktok,O5,reared,T2,12,12,1,3,9,3,-0.0002276,-0.01192,-0.01117,-0.013,203,0.296,37.12,0.296,1,,,
Kuparuk,K15,reared,T1,8,8,1,4,10,1,-0.00252,-0.003503,-0.00342,-0.005924,202,0.041,19.79,0.041,1,,,
Kuparuk,K12,reared,T1,8,8,1,4,11,2,-0.002208,-0.003688,-0.004527,-0.005916,203,0.04,21.17,0.04,1,,,
Sagavanirktok,O4,reared,T1,8,8,1,4,12,3,-0.00115,-0.003123,-0.003563,-0.002512,204,0.055,20.91,0.055,1,,,
Kuparuk,K11,reared,T2,12,16,2,1,1,1,-0.005161,-0.01668,-0.01297,-0.01653,202,0.288,34.56,0.288,1,,,
Kuparuk,K12,reared,T2,12,16,2,1,2,2,-0.004281,-0.009733,-0.008312,-0.005538,202,0.184,30.28,0.184,1,,,
Kuparuk,K13,reared,T2,12,16,2,1,3,3,-0.00428,-0.005034,-0.004302,-0.003787,199,0.03,18.3,0.03,1,,,
Sagavanirktok,O5,reared,T3,16,12,2,2,4,1,-0.002184,-0.009583,-0.005359,-0.003464,200,0.276,36.54,0.276,1,,,
Kuparuk,K5,reared,T3,16,12,2,2,6,2,-0.001843,-0.01451,-0.01224,-0.01098,204,0.253,36.2,0.253,1,,,
Sagavanirktok,O2,reared,T1,8,12,2,3,7,1,-0.004155,-0.003898,-0.002851,-0.002982,204,0.024,17.46,0.024,1,,,
Kuparuk,K9,reared,T1,8,12,2,3,8,2,-0.004076,-0.00575,-0.004066,-0.003582,204,0.04,20.17,0.04,1,,,
Kuparuk,K5,reared,T3,16,12,2,3,9,3,-0.004422,-0.01789,-0.01525,-0.01421,203,0.46,42.62,0.46,1,,,
Sagavanirktok,O4,reared,T2,12,8,2,4,10,1,-0.001207,-0.007343,-0.007037,-0.004684,202,0.172,31.91,0.172,1,,,
Kuparuk,K9,reared,T2,12,8,2,4,11,2,-0.0007579,-0.01121,-0.01133,-0.008949,203,0.169,31.24,0.169,1,,,
Sagavanirktok,O2,reared,T2,12,8,2,4,12,3,-0.0005422,-0.008614,-0.008459,-0.007151,204,0.258,34.94,0.258,1,,,
Sagavanirktok,O6,reared,T3,16,16,3,1,1,1,-0.007334,-0.03272,-0.001442,-0.005051,202,0.315,38.93,0.315,1,,,
Sagavanirktok,O6,reared,T3,16,16,3,1,2,2,-0.01084,-0.01666,-0.01218,-0.004441,202,0.236,34.33,0.236,1,,,
Kuparuk,K5,reared,T3,16,16,3,1,3,3,-0.01065,-0.02332,-0.01959,-0.005671,199,0.43,43.1,0.43,1,,,
Sagavanirktok,O6,reared,T2,12,12,3,2,4,1,-0.004495,-0.01035,-0.007265,-0.002784,200,0.191,33.26,0.191,1,,,
Kuparuk,K3,reared,T2,12,12,3,2,6,2,-0.004744,-0.01242,-0.01247,-0.002553,204,0.165,32.36,0.165,1,,,
Sagavanirktok,O5,reared,T2,12,12,3,3,7,1,-0.007405,-0.02015,-0.01358,-0.003277,204,0.288,38.69,0.288,1,,,
Kuparuk,K11,reared,T2,12,12,3,3,8,2,-0.00795,-0.004891,-0.01164,-0.01503,204,0.26,34.73,0.26,1,,,
Kuparuk,K7,reared,T2,12,12,3,3,9,3,-0.008606,-0.003543,-0.01377,-0.01907,203,0.335,33.97,0.335,1,,,
Kuparuk,K16 ,reared,T1,8,8,3,4,10,1,-0.005263,-0.009388,-0.007426,-0.005548,202,0.198,,0.198,4,,,
Sagavanirktok,O5 ,reared,T1,8,8,3,4,11,2,-0.005071,-0.01505,-0.01116,-0.003489,203,0.229,,0.229,4,,,
Sagavanirktok,O4 ,reared,T1,8,8,3,4,12,3,-0.006808,-0.01256,-0.01078,-0.00298,204,0.118,,0.118,4,,,
Sagavanirktok,O5 ,reared,T1,8,16,4,1,1,1,-0.006738,-0.003717,-0.0209,-0.017,202,0.177,,0.177,4,,,
Sagavanirktok,O4,reared,T2,12,16,4,1,2,2,-0.002833,-0.006244,-0.01404,-0.01225,202,0.207,,0.207,1,,,
Kuparuk,K9 ,reared,T1,8,16,4,1,3,3,-0.004283,-0.01185,-0.01186,-0.03859,199,0.151,,0.151,3,,,
Sagavanirktok,O6,reared,T3,16,12,4,2,4,1,-0.002488,-0.01321,-0.01687,-0.01042,200,0.321,,0.321,1,,,
Kuparuk,K5,reared,T3,16,12,4,2,6,2,-0.0005708,-0.007641,-0.007251,-0.02557,204,0.301,,0.301,1,,,
Kuparuk,K4,reared,T3,16,12,4,3,7,1,-0.002099,-0.01118,-0.007845,-0.01434,204,0.281,,0.281,1,,,
Sagavanirktok,O6,reared,T3,16,12,4,3,8,2,-0.0002511,-0.02003,-0.01246,-0.01278,204,0.297,,0.297,1,,,
Sagavanirktok,O6 ,reared,T1,8,12,4,3,9,3,-0.004105,-0.007614,-0.005306,-0.01368,203,0.175,,0.175,4,,,
Sagavanirktok,O6,reared,T3,16,8,4,4,10,1,-0.001047,-0.007265,-0.01224,-0.01901,202,0.0385,,0.0385,1,,,
Sagavanirktok,O2,reared,T3,16,8,4,4,11,2,-0.0002864,-0.01035,-0.01443,-0.01792,203,0.548,,0.548,1,,,
Kuparuk,K5,reared,T3,16,8,4,4,12,3,-0.0004336,-0.01403,-0.01169,-0.02151,204,0.316,,0.316,1,,,
Sagavanirktok,O4,reared,T2,12,16,5,1,1,1,-0.002972,-0.006487,-0.01437,-0.009202,202,0.254,,0.254,1,,,
Kuparuk,K4,reared,T3,16,16,5,1,2,2,-0.001046,-0.02399,-0.01327,-0.009661,202,0.272,,0.272,1,,,
Sagavanirktok,O5,reared,T2,12,16,5,1,3,3,-0.0005499,-0.01433,-0.01185,-0.01234,199,0.283,,0.283,1,,,
Sagavanirktok,O2 ,reared,T1,8,12,5,2,4,1,-0.002089,-0.01337,-0.01069,-0.007526,200,0.155,,0.109,4,,,
Kuparuk,K3 ,reared,T1,8,12,5,2,6,2,-0.0005315,-0.01064,-0.009021,-0.004384,204,0.615,,0.615,4,,,
Sagavanirktok,O4 ,reared,T1,8,12,5,3,7,1,-0.002813,-0.01214,-0.01001,-0.007861,204,0.15,,0.15,4,,,
Kuparuk,K8 ,reared,T1,8,12,5,3,8,2,-0.001484,-0.01711,-0.0128,-0.008404,204,0.176,,0.176,4,,,
Sagavanirktok,O5 ,reared,T1,8,12,5,3,9,3,-0.0008224,-0.0114,-0.01149,-0.009138,203,0.173,,0.173,3,,,
Sagavanirktok,O2,reared,T3,16,8,5,4,10,1,-0.004271,-0.01087,-0.01054,-0.007956,202,0.338,,0.338,1,,,
Kuparuk,K7,reared,T3,16,8,5,4,11,2,-0.00131,-0.01363,-0.01207,-0.007902,203,0.379,,0.379,1,,,
Kuparuk,K5,reared,T3,16,8,5,4,12,3,-0.003838,-0.01692,-0.00965,-0.007157,204,0.312,,0.312,1,,,
Kuparuk,WK5,wild,T3,16,16,6,1,1,1,-0.001925,-0.00211,-0.0198,-0.01461,202,0.495,,0.495,1,,,
Sagavanirktok,O6,reared,T2,12,16,6,1,2,2,-0.0008099,-0.002385,-0.01076,-0.006411,202,0.166,,0.166,1,,,
Sagavanirktok,O4,reared,T2,12,16,6,1,3,3,-0.001921,-0.00492,-0.01413,-0.009882,199,0.231,,0.231,1,,,
Kuparuk,K10 ,reared,T1,8,8,6,2,4,1,-0.001297,-0.008703,-0.006459,-0.006459,200,0.2,,0.2,4,,,
Kuparuk,K11 ,reared,T1,8,8,6,2,6,2,-0.002013,-0.008246,-0.006107,-0.007028,204,0.175,,0.175,4,,,
Kuparuk,K15,reared,T2,12,8,6,3,7,1,-0.001595,-0.006539,-0.007363,-0.00782,204,0.201,,0.201,1,,,
Kuparuk,K9,reared,T2,12,8,6,3,8,2,-0.00352,-0.01022,-0.00984,-0.008447,204,0.197,,0.197,1,,,
Sagavanirktok,O6,reared,T2,12,8,6,3,9,3,-0.004581,-0.006391,-0.008938,-0.007778,203,0.192,,0.192,1,,,
Kuparuk,WK4,wild,T3,16,8,6,4,10,1,-0.0003581,-0.007677,-0.006587,-0.006437,202,0.255,,0.255,1,,,
Kuparuk,K16 ,reared,T1,8,8,6,4,11,2,-0.005999,-0.007598,-0.007898,-0.006101,203,0.141,,0.141,4,,,
Sagavanirktok,O1 ,reared,T1,8,8,6,4,12,3,-0.001611,-0.006715,-0.006441,-0.005973,204,0.13,,0.13,4,,,
Kuparuk,K12 ,reared,T1,8,16,7,1,1,1,-0.003251,-0.01185,-0.008368,-0.006946,202,0.178,,0.178,4,,,
Sagavanirktok,O4 ,reared,T1,8,16,7,1,2,2,-0.00178,-0.01616,-0.01409,-0.01135,202,0.239,,0.239,5,,,
Sagavanirktok,O6 ,reared,T1,8,16,7,1,3,3,-0.001268,-0.01179,-0.009637,-0.007828,199,0.184,,0.184,4,,,
Kuparuk,K8,reared,T2,12,8,7,2,4,1,-0.002836,-0.008923,-0.006537,-0.006606,200,0.209,,0.209,1,,,
Sagavanirktok,O2,reared,T2,12,8,7,2,6,2,-0.001698,-0.006501,-0.002622,-0.002714,204,0.247,,0.247,1,,,
Kuparuk,K2 ,reared,T1,8,16,7,3,7,1,-0.002636,-0.009114,-0.008212,-0.005607,204,0.121,,0.121,4,,,
Sagavanirktok,O2 ,reared,T1,8,16,7,3,8,2,-0.002382,-0.005792,-0.006945,-0.007803,204,0.193,,0.193,4,,,
Kuparuk,K8 ,reared,T1,8,16,7,3,9,3,-0.00267,-0.009852,-0.008193,-0.006961,203,0.098,,0.098,4,,,
Kuparuk,K1 ,reared,T1,8,8,7,4,10,1,-0.001277,-0.01138,-0.009748,-0.007744,202,0.225,,0.225,4,,,
Sagavanirktok,O1 ,reared,T1,8,8,7,4,11,2,-0.0005219,-0.007752,-0.005573,-0.005163,203,0.158,,0.158,4,,,
Kuparuk,K5,reared,T2,12,8,7,4,12,3,-0.001201,-0.01399,-0.006651,-0.005146,204,0.192,,0.192,1,,,
Kuparuk,K12 ,reared,T1,8,16,8,1,1,1,-0.002887,-0.01324,-0.01189,-0.01255,202,0.175,,0.175,4,,,
Sagavanirktok,O4,reared,T1,8,16,8,1,2,2,-0.003116,-0.0107,-0.008133,-0.008701,202,0.133,,0.133,1,,,
Sagavanirktok,O6,reared,T1,8,16,8,1,3,3,-0.00287,-0.0022,-0.01715,-0.0187,199,0.279,,0.279,1,,,
Kuparuk,K8,reared,T2,12,8,8,2,4,1,-0.003747,-0.0117,-0.009663,-0.009927,200,0.189,,0.189,1,,,
Sagavanirktok,O2,reared,T2,12,8,8,2,6,2,-0.002845,-0.01426,-0.0112,-0.01177,204,0.236,,0.236,1,,,
Kuparuk,K2,reared,T1,8,16,8,3,7,1,-0.001789,-0.01475,-0.01122,-0.01137,204,0.183,,0.183,1,,,
Kuparuk,K8 ,reared,T1,8,16,8,3,8,2,-0.002554,-0.009791,-0.008813,-0.01044,204,0.133,,0.133,4,,,
Sagavanirktok,O2 ,reared,T1,8,16,8,3,9,3,-0.002763,-0.01063,-0.009163,-0.009239,203,0.106,,0.106,4,,,
Sagavanirktok,O6,reared,T2,12,8,8,4,10,1,-0.003671,-0.01015,-0.009443,-0.01007,202,0.172,,0.172,1,,,
Kuparuk,K5,reared,T2,12,8,8,4,11,2,-0.003105,-0.009604,-0.009912,-0.009282,203,0.183,,0.183,1,,,
Sagavanirktok,O2,reared,T2,12,8,8,4,12,3,-0.003257,-0.00881,-0.008917,-0.009909,204,0.235,,0.235,1,,,
Sagavanirktok,WO5,wild,T3,16,16,9,1,1,1,-0.001638,-0.01113,-0.0153,-0.009949,202,0.275,,0.275,1,,,
Kuparuk,WK1,wild,T3,16,16,9,1,2,2,-0.001984,-0.02028,-0.006954,-0.006709,202,0.534,,0.534,1,,,
Kuparuk,WK3,wild,T3,16,16,9,1,3,3,-0.000548,-0.01916,-0.001857,-0.002924,199,0.41,,0.41,1,,,
Kuparuk,WK3,wild,T1,8,8,9,2,4,1,-0.003942,-0.01157,-0.03745,-0.01357,200,0.204,,0.204,1,,,
Kuparuk,WK2,wild,T1,8,8,9,2,5,2,-0.002851,-0.004454,-0.01657,-0.006504,204,0.063,,0.063,1,,,
Kuparuk,WK5 ,wild,T1,8,8,9,2,6,3,-0.005303,-0.004247,-0.02741,-0.008354,204,0.117,,0.117,2,,,
Sagavanirktok,WO1,wild,T3,16,16,9,3,7,1,-0.001541,-0.01411,-0.01598,-0.004375,204,0.31,,0.31,1,,,
Sagavanirktok,WO3,wild,T3,16,16,9,3,8,2,-0.001435,-0.009548,-0.01521,-0.005347,204,0.367,,0.367,1,,,
Kuparuk,WK5,wild,T3,16,16,9,3,9,3,-0.001218,-0.02025,-0.006815,-0.00354,203,0.381,,0.381,1,,,
Sagavanirktok,WO1,wild,T1,8,8,9,4,10,1,-0.001352,-0.009507,-0.03256,-0.00484,202,0.176,,0.176,1,,,
Sagavanirktok,WO3,wild,T1,8,8,9,4,11,2,-0.001476,-0.005933,-0.02406,-0.005177,203,0.11,,0.11,1,,,
Sagavanirktok,WO5 ,wild,T1,8,8,9,4,12,3,-0.003991,-0.008273,-0.01594,-0.003961,204,0.67,,0.67,2,,,
Sagavanirktok,WO4,wild,T3,16,16,10,1,1,1,-0.0034885,-0.0165,-0.01852,-0.0165,202,0.297,,0.297,1,,,
Kuparuk,WK3,wild,T3,16,16,10,1,2,2,-0.00137955,-0.006263,-0.02035,-0.01629,202,0.507,,0.507,1,,,
Sagavanirktok,WO1,wild,T3,16,16,10,1,3,3,-0.0024975,-0.01682,-0.01348,-0.01546,199,0.377,,0.377,1,,,
Sagavanirktok,WO3 ,wild,T1,8,8,10,2,4,1,-0.002834,-0.003894,-0.001473,-0.009445,200,0.188,,0.188,2,,,
Kuparuk,WK3 ,wild,T1,8,8,10,2,5,2,-0.0009478,-0.003769,-0.004932,-0.01309,204,0.34,,0.34,2,,,
Sagavanirktok,WO2 ,wild,T1,8,8,10,2,6,3,-0.003461,-0.007857,-0.004182,-0.006648,204,0.23,,0.23,2,,,
Sagavanirktok,WO3,wild,T3,16,16,10,3,7,1,-0.002798,-0.00141,-0.002803,-0.01621,204,0.368,,0.368,1,,,
Kuparuk,WK5,wild,T3,16,16,10,3,8,2,-0.001962,-0.001412,-0.001379,-0.01543,204,0.511,,0.511,1,,,
Kuparuk,WK4,wild,T3,16,16,10,3,9,3,-0.003933,-0.006701,-0.02123,-0.003348,203,0.354,,0.354,1,,,
Kuparuk,WK4 ,wild,T1,8,8,10,4,10,1,0.0004164,-0.01223,-0.01042,-0.01237,202,0.155,,0.155,2,"positive backslope, checked 2023",,
Kuparuk,WK2 ,wild,T1,8,8,10,4,11,2,0.001255,-0.01254,-0.01077,-0.01216,203,0.2,,0.2,2,"positive backslope, checked 2023",,
