"","TreatmentTank","Location","Family","days.post.fert","indiv.alive","indiv.dead"
"1","T1","Kup","K01",0,1497369514,0
"49","T1","Kup","K01",1,1497369514,2
"97","T1","Kup","K01",2,1497369514,0
"145","T1","Kup","K01",3,1497369514,0
"193","T1","Kup","K01",4,1497369514,2
"241","T1","Kup","K01",5,1497369514,1
"289","T1","Kup","K01",6,1497369514,4
"337","T1","Kup","K01",7,1497369514,0
"385","T1","Kup","K01",8,1497369514,2
"433","T1","Kup","K01",9,1497369514,0
"481","T1","Kup","K01",10,1497369514,2
"529","T1","Kup","K01",12,1497369514,2
"574","T1","Kup","K01",13,1497369514,0
"612","T1","Kup","K01",14,1497369514,2
"650","T1","Kup","K01",15,1497369514,11
"688","T1","Kup","K01",16,1497369514,3
"726","T1","Kup","K01",17,1497369514,6
"764","T1","Kup","K01",18,1497369514,13
"802","T1","Kup","K01",19,1497369514,84
"840","T1","Kup","K01",20,1497369514,16
"878","T1","Kup","K01",21,1497369514,5
"916","T1","Kup","K01",22,1497369514,0
"954","T1","Kup","K01",23,1497369514,6
"992","T1","Kup","K01",24,1497369514,12
"1030","T1","Kup","K01",25,1497369514,3
"1068","T1","Kup","K01",26,1497369514,2
"1106","T1","Kup","K01",27,1497369514,14
"1143","T1","Kup","K01",28,1497369514,1
"1181","T1","Kup","K01",29,1497369514,2
"1219","T1","Kup","K01",30,1497369514,0
"1257","T1","Kup","K01",31,1497369514,0
"1295","T1","Kup","K01",32,1497369514,0
"1332","T1","Kup","K01",33,1497369514,0
"1370","T1","Kup","K01",34,1497369514,0
"1408","T1","Kup","K01",35,1497369514,0
"1446","T1","Kup","K01",36,1497369514,0
"1476","T1","Kup","K01",37,1497369514,1
"1514","T1","Kup","K01",38,1497369514,0
"1552","T1","Kup","K01",39,1497369514,0
"1590","T1","Kup","K01",40,1497369514,1
"2","T1","Kup","K02",0,1497369506,0
"50","T1","Kup","K02",1,1497369506,3
"98","T1","Kup","K02",2,1497369506,1
"146","T1","Kup","K02",3,1497369506,2
"194","T1","Kup","K02",4,1497369506,1
"242","T1","Kup","K02",5,1497369506,2
"290","T1","Kup","K02",6,1497369506,3
"338","T1","Kup","K02",7,1497369506,5
"386","T1","Kup","K02",8,1497369506,1
"434","T1","Kup","K02",9,1497369506,0
"482","T1","Kup","K02",10,1497369506,0
"530","T1","Kup","K02",12,1497369506,2
"575","T1","Kup","K02",13,1497369506,0
"613","T1","Kup","K02",14,1497369506,3
"651","T1","Kup","K02",15,1497369506,3
"689","T1","Kup","K02",16,1497369506,5
"727","T1","Kup","K02",17,1497369506,7
"765","T1","Kup","K02",18,1497369506,3
"803","T1","Kup","K02",19,1497369506,4
"841","T1","Kup","K02",20,1497369506,8
"879","T1","Kup","K02",21,1497369506,4
"917","T1","Kup","K02",22,1497369506,3
"955","T1","Kup","K02",23,1497369506,3
"993","T1","Kup","K02",24,1497369506,5
"1031","T1","Kup","K02",25,1497369506,8
"1069","T1","Kup","K02",26,1497369506,0
"1107","T1","Kup","K02",27,1497369506,4
"1144","T1","Kup","K02",28,1497369506,1
"1182","T1","Kup","K02",29,1497369506,4
"1220","T1","Kup","K02",30,1497369506,1
"1258","T1","Kup","K02",31,1497369506,1
"1296","T1","Kup","K02",32,1497369506,0
"1333","T1","Kup","K02",33,1497369506,0
"1371","T1","Kup","K02",34,1497369506,1
"1409","T1","Kup","K02",35,1497369506,0
"1447","T1","Kup","K02",36,1497369506,1
"1477","T1","Kup","K02",37,1497369506,0
"1515","T1","Kup","K02",38,1497369506,2
"1553","T1","Kup","K02",39,1497369506,2
"1591","T1","Kup","K02",40,1497369506,4
"3","T1","Kup","K03",0,1497369514,0
"51","T1","Kup","K03",1,1497369514,1
"99","T1","Kup","K03",2,1497369514,0
"147","T1","Kup","K03",3,1497369514,0
"195","T1","Kup","K03",4,1497369514,2
"243","T1","Kup","K03",5,1497369514,2
"291","T1","Kup","K03",6,1497369514,0
"339","T1","Kup","K03",7,1497369514,0
"387","T1","Kup","K03",8,1497369514,0
"435","T1","Kup","K03",9,1497369514,0
"483","T1","Kup","K03",10,1497369514,0
"531","T1","Kup","K03",12,1497369514,1
"576","T1","Kup","K03",13,1497369514,0
"614","T1","Kup","K03",14,1497369514,0
"652","T1","Kup","K03",15,1497369514,0
"690","T1","Kup","K03",16,1497369514,1
"728","T1","Kup","K03",17,1497369514,0
"766","T1","Kup","K03",18,1497369514,1
"804","T1","Kup","K03",19,1497369514,2
"842","T1","Kup","K03",20,1497369514,3
"880","T1","Kup","K03",21,1497369514,0
"918","T1","Kup","K03",22,1497369514,0
"956","T1","Kup","K03",23,1497369514,3
"994","T1","Kup","K03",24,1497369514,3
"1032","T1","Kup","K03",25,1497369514,2
"1070","T1","Kup","K03",26,1497369514,2
"1108","T1","Kup","K03",27,1497369514,0
"1145","T1","Kup","K03",28,1497369514,2
"1183","T1","Kup","K03",29,1497369514,0
"1221","T1","Kup","K03",30,1497369514,0
"1259","T1","Kup","K03",31,1497369514,2
"1297","T1","Kup","K03",32,1497369514,0
"1334","T1","Kup","K03",33,1497369514,1
"1372","T1","Kup","K03",34,1497369514,0
"1410","T1","Kup","K03",35,1497369514,3
"1448","T1","Kup","K03",36,1497369514,1
"1478","T1","Kup","K03",37,1497369514,2
"1516","T1","Kup","K03",38,1497369514,0
"1554","T1","Kup","K03",39,1497369514,1
"1592","T1","Kup","K03",40,1497369514,9
"4","T1","Kup","K04",0,1497369517,0
"52","T1","Kup","K04",1,1497369517,0
"100","T1","Kup","K04",2,1497369517,1
"148","T1","Kup","K04",3,1497369517,0
"196","T1","Kup","K04",4,1497369517,0
"244","T1","Kup","K04",5,1497369517,0
"292","T1","Kup","K04",6,1497369517,3
"340","T1","Kup","K04",7,1497369517,1
"388","T1","Kup","K04",8,1497369517,4
"436","T1","Kup","K04",9,1497369517,2
"484","T1","Kup","K04",10,1497369517,2
"532","T1","Kup","K04",12,1497369517,2
"577","T1","Kup","K04",13,1497369517,0
"615","T1","Kup","K04",14,1497369517,0
"653","T1","Kup","K04",15,1497369517,0
"691","T1","Kup","K04",16,1497369517,0
"729","T1","Kup","K04",17,1497369517,4
"767","T1","Kup","K04",18,1497369517,1
"805","T1","Kup","K04",19,1497369517,24
"843","T1","Kup","K04",20,1497369517,1
"881","T1","Kup","K04",21,1497369517,0
"919","T1","Kup","K04",22,1497369517,7
"957","T1","Kup","K04",23,1497369517,2
"995","T1","Kup","K04",24,1497369517,5
"1033","T1","Kup","K04",25,1497369517,1
"1071","T1","Kup","K04",26,1497369517,1
"1109","T1","Kup","K04",27,1497369517,0
"1146","T1","Kup","K04",28,1497369517,0
"1184","T1","Kup","K04",29,1497369517,1
"1222","T1","Kup","K04",30,1497369517,1
"1260","T1","Kup","K04",31,1497369517,0
"1298","T1","Kup","K04",32,1497369517,0
"1335","T1","Kup","K04",33,1497369517,0
"1373","T1","Kup","K04",34,1497369517,0
"1411","T1","Kup","K04",35,1497369517,4
"1449","T1","Kup","K04",36,1497369517,0
"1479","T1","Kup","K04",37,1497369517,1
"1517","T1","Kup","K04",38,1497369517,3
"1555","T1","Kup","K04",39,1497369517,3
"1593","T1","Kup","K04",40,1497369517,9
"5","T1","Kup","K05",0,1497369521,0
"53","T1","Kup","K05",1,1497369521,3
"101","T1","Kup","K05",2,1497369521,1
"149","T1","Kup","K05",3,1497369521,1
"197","T1","Kup","K05",4,1497369521,0
"245","T1","Kup","K05",5,1497369521,0
"293","T1","Kup","K05",6,1497369521,0
"341","T1","Kup","K05",7,1497369521,2
"389","T1","Kup","K05",8,1497369521,3
"437","T1","Kup","K05",9,1497369521,2
"485","T1","Kup","K05",10,1497369521,1
"533","T1","Kup","K05",12,1497369521,5
"578","T1","Kup","K05",13,1497369521,4
"616","T1","Kup","K05",14,1497369521,3
"654","T1","Kup","K05",15,1497369521,1
"692","T1","Kup","K05",16,1497369521,1
"730","T1","Kup","K05",17,1497369521,0
"768","T1","Kup","K05",18,1497369521,2
"806","T1","Kup","K05",19,1497369521,17
"844","T1","Kup","K05",20,1497369521,30
"882","T1","Kup","K05",21,1497369521,14
"920","T1","Kup","K05",22,1497369521,0
"958","T1","Kup","K05",23,1497369521,8
"996","T1","Kup","K05",24,1497369521,16
"1034","T1","Kup","K05",25,1497369521,2
"1072","T1","Kup","K05",26,1497369521,0
"1110","T1","Kup","K05",27,1497369521,1
"1147","T1","Kup","K05",28,1497369521,0
"1185","T1","Kup","K05",29,1497369521,2
"1223","T1","Kup","K05",30,1497369521,2
"1261","T1","Kup","K05",31,1497369521,0
"1299","T1","Kup","K05",32,1497369521,2
"1336","T1","Kup","K05",33,1497369521,0
"1374","T1","Kup","K05",34,1497369521,0
"1412","T1","Kup","K05",35,1497369521,2
"1450","T1","Kup","K05",36,1497369521,0
"1480","T1","Kup","K05",37,1497369521,2
"1518","T1","Kup","K05",38,1497369521,0
"1556","T1","Kup","K05",39,1497369521,0
"1594","T1","Kup","K05",40,1497369521,5
"6","T1","Kup","K06",0,1497369577,0
"54","T1","Kup","K06",1,1497369577,0
"102","T1","Kup","K06",2,1497369577,1
"150","T1","Kup","K06",3,1497369577,6
"198","T1","Kup","K06",4,1497369577,114
"246","T1","Kup","K06",5,1497369577,107
"294","T1","Kup","K06",6,1497369577,18
"342","T1","Kup","K06",7,1497369577,14
"390","T1","Kup","K06",8,1497369577,5
"438","T1","Kup","K06",9,1497369577,14
"486","T1","Kup","K06",10,1497369577,4
"534","T1","Kup","K06",12,1497369577,0
"579","T1","Kup","K06",13,1497369577,0
"617","T1","Kup","K06",14,1497369577,6
"655","T1","Kup","K06",15,1497369577,0
"693","T1","Kup","K06",16,1497369577,1
"731","T1","Kup","K06",17,1497369577,1
"769","T1","Kup","K06",18,1497369577,8
"807","T1","Kup","K06",19,1497369577,0
"845","T1","Kup","K06",20,1497369577,2
"883","T1","Kup","K06",21,1497369577,0
"921","T1","Kup","K06",22,1497369577,1
"959","T1","Kup","K06",23,1497369577,0
"997","T1","Kup","K06",24,1497369577,0
"1035","T1","Kup","K06",25,1497369577,0
"1073","T1","Kup","K06",26,1497369577,2
"1111","T1","Kup","K06",27,1497369577,4
"1148","T1","Kup","K06",28,1497369577,0
"1186","T1","Kup","K06",29,1497369577,0
"1224","T1","Kup","K06",30,1497369577,1
"1262","T1","Kup","K06",31,1497369577,0
"1300","T1","Kup","K06",32,1497369577,0
"1337","T1","Kup","K06",33,1497369577,1
"1375","T1","Kup","K06",34,1497369577,1
"1413","T1","Kup","K06",35,1497369577,0
"1451","T1","Kup","K06",36,1497369577,0
"1481","T1","Kup","K06",37,1497369577,1
"1519","T1","Kup","K06",38,1497369577,0
"1557","T1","Kup","K06",39,1497369577,0
"1595","T1","Kup","K06",40,1497369577,1
"7","T1","Kup","K07",0,1497369525,0
"55","T1","Kup","K07",1,1497369525,0
"103","T1","Kup","K07",2,1497369525,0
"151","T1","Kup","K07",3,1497369525,0
"199","T1","Kup","K07",4,1497369525,1
"247","T1","Kup","K07",5,1497369525,1
"295","T1","Kup","K07",6,1497369525,2
"343","T1","Kup","K07",7,1497369525,0
"391","T1","Kup","K07",8,1497369525,1
"439","T1","Kup","K07",9,1497369525,0
"487","T1","Kup","K07",10,1497369525,0
"535","T1","Kup","K07",12,1497369525,2
"580","T1","Kup","K07",13,1497369525,2
"618","T1","Kup","K07",14,1497369525,0
"656","T1","Kup","K07",15,1497369525,0
"694","T1","Kup","K07",16,1497369525,1
"732","T1","Kup","K07",17,1497369525,1
"770","T1","Kup","K07",18,1497369525,0
"808","T1","Kup","K07",19,1497369525,3
"846","T1","Kup","K07",20,1497369525,3
"884","T1","Kup","K07",21,1497369525,3
"922","T1","Kup","K07",22,1497369525,1
"960","T1","Kup","K07",23,1497369525,4
"998","T1","Kup","K07",24,1497369525,3
"1036","T1","Kup","K07",25,1497369525,0
"1074","T1","Kup","K07",26,1497369525,1
"1112","T1","Kup","K07",27,1497369525,3
"1149","T1","Kup","K07",28,1497369525,1
"1187","T1","Kup","K07",29,1497369525,0
"1225","T1","Kup","K07",30,1497369525,1
"1263","T1","Kup","K07",31,1497369525,1
"1301","T1","Kup","K07",32,1497369525,2
"1338","T1","Kup","K07",33,1497369525,1
"1376","T1","Kup","K07",34,1497369525,4
"1414","T1","Kup","K07",35,1497369525,1
"1452","T1","Kup","K07",36,1497369525,2
"1482","T1","Kup","K07",37,1497369525,1
"1520","T1","Kup","K07",38,1497369525,1
"1558","T1","Kup","K07",39,1497369525,4
"1596","T1","Kup","K07",40,1497369525,16
"8","T1","Kup","K08",0,1497369525,0
"56","T1","Kup","K08",1,1497369525,0
"104","T1","Kup","K08",2,1497369525,1
"152","T1","Kup","K08",3,1497369525,0
"200","T1","Kup","K08",4,1497369525,0
"248","T1","Kup","K08",5,1497369525,2
"296","T1","Kup","K08",6,1497369525,1
"344","T1","Kup","K08",7,1497369525,0
"392","T1","Kup","K08",8,1497369525,0
"440","T1","Kup","K08",9,1497369525,0
"488","T1","Kup","K08",10,1497369525,0
"536","T1","Kup","K08",12,1497369525,0
"581","T1","Kup","K08",13,1497369525,1
"619","T1","Kup","K08",14,1497369525,1
"657","T1","Kup","K08",15,1497369525,0
"695","T1","Kup","K08",16,1497369525,0
"733","T1","Kup","K08",17,1497369525,0
"771","T1","Kup","K08",18,1497369525,0
"809","T1","Kup","K08",19,1497369525,6
"847","T1","Kup","K08",20,1497369525,1
"885","T1","Kup","K08",21,1497369525,0
"923","T1","Kup","K08",22,1497369525,5
"961","T1","Kup","K08",23,1497369525,0
"999","T1","Kup","K08",24,1497369525,0
"1037","T1","Kup","K08",25,1497369525,6
"1075","T1","Kup","K08",26,1497369525,2
"1113","T1","Kup","K08",27,1497369525,3
"1150","T1","Kup","K08",28,1497369525,0
"1188","T1","Kup","K08",29,1497369525,1
"1226","T1","Kup","K08",30,1497369525,1
"1264","T1","Kup","K08",31,1497369525,1
"1302","T1","Kup","K08",32,1497369525,1
"1339","T1","Kup","K08",33,1497369525,0
"1377","T1","Kup","K08",34,1497369525,0
"1415","T1","Kup","K08",35,1497369525,1
"1453","T1","Kup","K08",36,1497369525,2
"1483","T1","Kup","K08",37,1497369525,0
"1521","T1","Kup","K08",38,1497369525,0
"1559","T1","Kup","K08",39,1497369525,6
"1597","T1","Kup","K08",40,1497369525,2
"9","T1","Kup","K09",0,1497369531,0
"57","T1","Kup","K09",1,1497369531,0
"105","T1","Kup","K09",2,1497369531,0
"153","T1","Kup","K09",3,1497369531,1
"201","T1","Kup","K09",4,1497369531,0
"249","T1","Kup","K09",5,1497369531,0
"297","T1","Kup","K09",6,1497369531,0
"345","T1","Kup","K09",7,1497369531,2
"393","T1","Kup","K09",8,1497369531,0
"441","T1","Kup","K09",9,1497369531,0
"489","T1","Kup","K09",10,1497369531,0
"537","T1","Kup","K09",12,1497369531,0
"582","T1","Kup","K09",13,1497369531,1
"620","T1","Kup","K09",14,1497369531,0
"658","T1","Kup","K09",15,1497369531,0
"696","T1","Kup","K09",16,1497369531,1
"734","T1","Kup","K09",17,1497369531,0
"772","T1","Kup","K09",18,1497369531,0
"810","T1","Kup","K09",19,1497369531,1
"848","T1","Kup","K09",20,1497369531,9
"886","T1","Kup","K09",21,1497369531,0
"924","T1","Kup","K09",22,1497369531,5
"962","T1","Kup","K09",23,1497369531,0
"1000","T1","Kup","K09",24,1497369531,2
"1038","T1","Kup","K09",25,1497369531,0
"1076","T1","Kup","K09",26,1497369531,7
"1114","T1","Kup","K09",27,1497369531,10
"1151","T1","Kup","K09",28,1497369531,5
"1189","T1","Kup","K09",29,1497369531,3
"1227","T1","Kup","K09",30,1497369531,4
"1265","T1","Kup","K09",31,1497369531,0
"1303","T1","Kup","K09",32,1497369531,0
"1340","T1","Kup","K09",33,1497369531,1
"1378","T1","Kup","K09",34,1497369531,0
"1416","T1","Kup","K09",35,1497369531,0
"1454","T1","Kup","K09",36,1497369531,0
"1484","T1","Kup","K09",37,1497369531,1
"1522","T1","Kup","K09",38,1497369531,0
"1560","T1","Kup","K09",39,1497369531,3
"1598","T1","Kup","K09",40,1497369531,8
"10","T1","Kup","K10",0,1497369535,0
"58","T1","Kup","K10",1,1497369535,0
"106","T1","Kup","K10",2,1497369535,1
"154","T1","Kup","K10",3,1497369535,0
"202","T1","Kup","K10",4,1497369535,4
"250","T1","Kup","K10",5,1497369535,2
"298","T1","Kup","K10",6,1497369535,6
"346","T1","Kup","K10",7,1497369535,1
"394","T1","Kup","K10",8,1497369535,1
"442","T1","Kup","K10",9,1497369535,2
"490","T1","Kup","K10",10,1497369535,0
"538","T1","Kup","K10",12,1497369535,3
"583","T1","Kup","K10",13,1497369535,1
"621","T1","Kup","K10",14,1497369535,0
"659","T1","Kup","K10",15,1497369535,0
"697","T1","Kup","K10",16,1497369535,3
"735","T1","Kup","K10",17,1497369535,4
"773","T1","Kup","K10",18,1497369535,6
"811","T1","Kup","K10",19,1497369535,7
"849","T1","Kup","K10",20,1497369535,28
"887","T1","Kup","K10",21,1497369535,2
"925","T1","Kup","K10",22,1497369535,10
"963","T1","Kup","K10",23,1497369535,8
"1001","T1","Kup","K10",24,1497369535,2
"1039","T1","Kup","K10",25,1497369535,8
"1077","T1","Kup","K10",26,1497369535,3
"1115","T1","Kup","K10",27,1497369535,1
"1152","T1","Kup","K10",28,1497369535,5
"1190","T1","Kup","K10",29,1497369535,1
"1228","T1","Kup","K10",30,1497369535,3
"1266","T1","Kup","K10",31,1497369535,1
"1304","T1","Kup","K10",32,1497369535,0
"1341","T1","Kup","K10",33,1497369535,0
"1379","T1","Kup","K10",34,1497369535,1
"1417","T1","Kup","K10",35,1497369535,2
"1455","T1","Kup","K10",36,1497369535,2
"1485","T1","Kup","K10",37,1497369535,1
"1523","T1","Kup","K10",38,1497369535,4
"1561","T1","Kup","K10",39,1497369535,2
"1599","T1","Kup","K10",40,1497369535,8
"11","T1","Kup","K11",0,1497369505,0
"59","T1","Kup","K11",1,1497369505,1
"107","T1","Kup","K11",2,1497369505,1
"155","T1","Kup","K11",3,1497369505,0
"203","T1","Kup","K11",4,1497369505,2
"251","T1","Kup","K11",5,1497369505,0
"299","T1","Kup","K11",6,1497369505,2
"347","T1","Kup","K11",7,1497369505,1
"395","T1","Kup","K11",8,1497369505,1
"443","T1","Kup","K11",9,1497369505,0
"491","T1","Kup","K11",10,1497369505,1
"539","T1","Kup","K11",12,1497369505,1
"584","T1","Kup","K11",13,1497369505,2
"622","T1","Kup","K11",14,1497369505,0
"660","T1","Kup","K11",15,1497369505,0
"698","T1","Kup","K11",16,1497369505,0
"736","T1","Kup","K11",17,1497369505,0
"774","T1","Kup","K11",18,1497369505,0
"812","T1","Kup","K11",19,1497369505,3
"850","T1","Kup","K11",20,1497369505,4
"888","T1","Kup","K11",21,1497369505,1
"926","T1","Kup","K11",22,1497369505,4
"964","T1","Kup","K11",23,1497369505,1
"1002","T1","Kup","K11",24,1497369505,3
"1040","T1","Kup","K11",25,1497369505,3
"1078","T1","Kup","K11",26,1497369505,4
"1116","T1","Kup","K11",27,1497369505,2
"1153","T1","Kup","K11",28,1497369505,5
"1191","T1","Kup","K11",29,1497369505,6
"1229","T1","Kup","K11",30,1497369505,3
"1267","T1","Kup","K11",31,1497369505,3
"1305","T1","Kup","K11",32,1497369505,0
"1342","T1","Kup","K11",33,1497369505,1
"1380","T1","Kup","K11",34,1497369505,0
"1418","T1","Kup","K11",35,1497369505,0
"1456","T1","Kup","K11",36,1497369505,2
"1486","T1","Kup","K11",37,1497369505,0
"1524","T1","Kup","K11",38,1497369505,5
"1562","T1","Kup","K11",39,1497369505,3
"1600","T1","Kup","K11",40,1497369505,11
"12","T1","Kup","K12",0,1497369505,0
"60","T1","Kup","K12",1,1497369505,0
"108","T1","Kup","K12",2,1497369505,1
"156","T1","Kup","K12",3,1497369505,0
"204","T1","Kup","K12",4,1497369505,0
"252","T1","Kup","K12",5,1497369505,3
"300","T1","Kup","K12",6,1497369505,0
"348","T1","Kup","K12",7,1497369505,5
"396","T1","Kup","K12",8,1497369505,1
"444","T1","Kup","K12",9,1497369505,3
"492","T1","Kup","K12",10,1497369505,1
"540","T1","Kup","K12",12,1497369505,0
"585","T1","Kup","K12",13,1497369505,0
"623","T1","Kup","K12",14,1497369505,0
"661","T1","Kup","K12",15,1497369505,0
"699","T1","Kup","K12",16,1497369505,0
"737","T1","Kup","K12",17,1497369505,0
"775","T1","Kup","K12",18,1497369505,0
"813","T1","Kup","K12",19,1497369505,3
"851","T1","Kup","K12",20,1497369505,2
"889","T1","Kup","K12",21,1497369505,0
"927","T1","Kup","K12",22,1497369505,0
"965","T1","Kup","K12",23,1497369505,1
"1003","T1","Kup","K12",24,1497369505,0
"1041","T1","Kup","K12",25,1497369505,8
"1079","T1","Kup","K12",26,1497369505,4
"1117","T1","Kup","K12",27,1497369505,1
"1154","T1","Kup","K12",28,1497369505,4
"1192","T1","Kup","K12",29,1497369505,2
"1230","T1","Kup","K12",30,1497369505,0
"1268","T1","Kup","K12",31,1497369505,0
"1306","T1","Kup","K12",32,1497369505,0
"1343","T1","Kup","K12",33,1497369505,0
"1381","T1","Kup","K12",34,1497369505,0
"1419","T1","Kup","K12",35,1497369505,2
"1457","T1","Kup","K12",36,1497369505,1
"1487","T1","Kup","K12",37,1497369505,0
"1525","T1","Kup","K12",38,1497369505,1
"1563","T1","Kup","K12",39,1497369505,0
"1601","T1","Kup","K12",40,1497369505,5
"13","T1","Kup","K13",0,1497369505,0
"61","T1","Kup","K13",1,1497369505,0
"109","T1","Kup","K13",2,1497369505,0
"157","T1","Kup","K13",3,1497369505,0
"205","T1","Kup","K13",4,1497369505,3
"253","T1","Kup","K13",5,1497369505,6
"301","T1","Kup","K13",6,1497369505,0
"349","T1","Kup","K13",7,1497369505,3
"397","T1","Kup","K13",8,1497369505,3
"445","T1","Kup","K13",9,1497369505,1
"493","T1","Kup","K13",10,1497369505,0
"541","T1","Kup","K13",12,1497369505,0
"586","T1","Kup","K13",13,1497369505,0
"624","T1","Kup","K13",14,1497369505,2
"662","T1","Kup","K13",15,1497369505,1
"700","T1","Kup","K13",16,1497369505,0
"738","T1","Kup","K13",17,1497369505,1
"776","T1","Kup","K13",18,1497369505,0
"814","T1","Kup","K13",19,1497369505,23
"852","T1","Kup","K13",20,1497369505,6
"890","T1","Kup","K13",21,1497369505,1
"928","T1","Kup","K13",22,1497369505,0
"966","T1","Kup","K13",23,1497369505,2
"1004","T1","Kup","K13",24,1497369505,1
"1042","T1","Kup","K13",25,1497369505,0
"1080","T1","Kup","K13",26,1497369505,5
"1118","T1","Kup","K13",27,1497369505,3
"1155","T1","Kup","K13",28,1497369505,6
"1193","T1","Kup","K13",29,1497369505,2
"1231","T1","Kup","K13",30,1497369505,2
"1269","T1","Kup","K13",31,1497369505,0
"1307","T1","Kup","K13",32,1497369505,1
"1344","T1","Kup","K13",33,1497369505,0
"1382","T1","Kup","K13",34,1497369505,1
"1420","T1","Kup","K13",35,1497369505,0
"1458","T1","Kup","K13",36,1497369505,7
"1488","T1","Kup","K13",37,1497369505,1
"1526","T1","Kup","K13",38,1497369505,0
"1564","T1","Kup","K13",39,1497369505,0
"1602","T1","Kup","K13",40,1497369505,12
"14","T1","Kup","K14",0,1497369505,0
"62","T1","Kup","K14",1,1497369505,1
"110","T1","Kup","K14",2,1497369505,0
"158","T1","Kup","K14",3,1497369505,0
"206","T1","Kup","K14",4,1497369505,0
"254","T1","Kup","K14",5,1497369505,1
"302","T1","Kup","K14",6,1497369505,4
"350","T1","Kup","K14",7,1497369505,1
"398","T1","Kup","K14",8,1497369505,1
"446","T1","Kup","K14",9,1497369505,3
"494","T1","Kup","K14",10,1497369505,1
"542","T1","Kup","K14",12,1497369505,4
"587","T1","Kup","K14",13,1497369505,0
"625","T1","Kup","K14",14,1497369505,0
"663","T1","Kup","K14",15,1497369505,0
"701","T1","Kup","K14",16,1497369505,3
"739","T1","Kup","K14",17,1497369505,1
"777","T1","Kup","K14",18,1497369505,0
"815","T1","Kup","K14",19,1497369505,14
