"","TreatmentTank","Location","Family","days.post.fert","indiv.alive","indiv.dead"
"1535","T2","Kup","K06",38,1497369574,1
"1573","T2","Kup","K06",39,1497369574,0
"1611","T2","Kup","K06",40,1497369574,0
"23","T2","Kup","K07",0,1497369535,0
"71","T2","Kup","K07",1,1497369535,1
"119","T2","Kup","K07",2,1497369535,1
"167","T2","Kup","K07",3,1497369535,1
"215","T2","Kup","K07",4,1497369535,1
"263","T2","Kup","K07",5,1497369535,4
"311","T2","Kup","K07",6,1497369535,0
"359","T2","Kup","K07",7,1497369535,0
"407","T2","Kup","K07",8,1497369535,0
"455","T2","Kup","K07",9,1497369535,2
"503","T2","Kup","K07",10,1497369535,0
"551","T2","Kup","K07",12,1497369535,4
"596","T2","Kup","K07",13,1497369535,17
"634","T2","Kup","K07",14,1497369535,2
"672","T2","Kup","K07",15,1497369535,6
"710","T2","Kup","K07",16,1497369535,13
"748","T2","Kup","K07",17,1497369535,0
"786","T2","Kup","K07",18,1497369535,1
"824","T2","Kup","K07",19,1497369535,0
"862","T2","Kup","K07",20,1497369535,2
"900","T2","Kup","K07",21,1497369535,1
"938","T2","Kup","K07",22,1497369535,3
"976","T2","Kup","K07",23,1497369535,0
"1014","T2","Kup","K07",24,1497369535,3
"1052","T2","Kup","K07",25,1497369535,10
"1090","T2","Kup","K07",26,1497369535,5
"1128","T2","Kup","K07",27,1497369535,2
"1165","T2","Kup","K07",28,1497369535,7
"1203","T2","Kup","K07",29,1497369535,8
"1241","T2","Kup","K07",30,1497369535,3
"1279","T2","Kup","K07",31,1497369535,0
"1317","T2","Kup","K07",32,1497369535,0
"1354","T2","Kup","K07",33,1497369535,0
"1392","T2","Kup","K07",34,1497369535,0
"1430","T2","Kup","K07",35,1497369535,0
"1468","T2","Kup","K07",36,1497369535,0
"1498","T2","Kup","K07",37,1497369535,0
"1536","T2","Kup","K07",38,1497369535,2
"1574","T2","Kup","K07",39,1497369535,5
"1612","T2","Kup","K07",40,1497369535,2
"24","T2","Kup","K08",0,1497369535,0
"72","T2","Kup","K08",1,1497369535,1
"120","T2","Kup","K08",2,1497369535,0
"168","T2","Kup","K08",3,1497369535,3
"216","T2","Kup","K08",4,1497369535,2
"264","T2","Kup","K08",5,1497369535,1
"312","T2","Kup","K08",6,1497369535,0
"360","T2","Kup","K08",7,1497369535,2
"408","T2","Kup","K08",8,1497369535,1
"456","T2","Kup","K08",9,1497369535,0
"504","T2","Kup","K08",10,1497369535,0
"552","T2","Kup","K08",12,1497369535,8
"597","T2","Kup","K08",13,1497369535,11
"635","T2","Kup","K08",14,1497369535,1
"673","T2","Kup","K08",15,1497369535,0
"711","T2","Kup","K08",16,1497369535,0
"749","T2","Kup","K08",17,1497369535,0
"787","T2","Kup","K08",18,1497369535,0
"825","T2","Kup","K08",19,1497369535,0
"863","T2","Kup","K08",20,1497369535,3
"901","T2","Kup","K08",21,1497369535,1
"939","T2","Kup","K08",22,1497369535,1
"977","T2","Kup","K08",23,1497369535,2
"1015","T2","Kup","K08",24,1497369535,2
"1053","T2","Kup","K08",25,1497369535,9
"1091","T2","Kup","K08",26,1497369535,1
"1129","T2","Kup","K08",27,1497369535,3
"1166","T2","Kup","K08",28,1497369535,9
"1204","T2","Kup","K08",29,1497369535,5
"1242","T2","Kup","K08",30,1497369535,11
"1280","T2","Kup","K08",31,1497369535,0
"1318","T2","Kup","K08",32,1497369535,0
"1355","T2","Kup","K08",33,1497369535,0
"1393","T2","Kup","K08",34,1497369535,1
"1431","T2","Kup","K08",35,1497369535,0
"1469","T2","Kup","K08",36,1497369535,1
"1499","T2","Kup","K08",37,1497369535,1
"1537","T2","Kup","K08",38,1497369535,4
"1575","T2","Kup","K08",39,1497369535,3
"1613","T2","Kup","K08",40,1497369535,3
"25","T2","Kup","K09",0,1497369525,0
"73","T2","Kup","K09",1,1497369525,0
"121","T2","Kup","K09",2,1497369525,1
"169","T2","Kup","K09",3,1497369525,0
"217","T2","Kup","K09",4,1497369525,1
"265","T2","Kup","K09",5,1497369525,1
"313","T2","Kup","K09",6,1497369525,1
"361","T2","Kup","K09",7,1497369525,0
"409","T2","Kup","K09",8,1497369525,0
"457","T2","Kup","K09",9,1497369525,1
"505","T2","Kup","K09",10,1497369525,0
"553","T2","Kup","K09",12,1497369525,4
"598","T2","Kup","K09",13,1497369525,5
"636","T2","Kup","K09",14,1497369525,2
"674","T2","Kup","K09",15,1497369525,0
"712","T2","Kup","K09",16,1497369525,3
"750","T2","Kup","K09",17,1497369525,0
"788","T2","Kup","K09",18,1497369525,3
"826","T2","Kup","K09",19,1497369525,0
"864","T2","Kup","K09",20,1497369525,2
"902","T2","Kup","K09",21,1497369525,0
"940","T2","Kup","K09",22,1497369525,1
"978","T2","Kup","K09",23,1497369525,2
"1016","T2","Kup","K09",24,1497369525,5
"1054","T2","Kup","K09",25,1497369525,39
"1092","T2","Kup","K09",26,1497369525,11
"1130","T2","Kup","K09",27,1497369525,12
"1167","T2","Kup","K09",28,1497369525,11
"1205","T2","Kup","K09",29,1497369525,11
"1243","T2","Kup","K09",30,1497369525,11
"1281","T2","Kup","K09",31,1497369525,2
"1319","T2","Kup","K09",32,1497369525,0
"1356","T2","Kup","K09",33,1497369525,1
"1394","T2","Kup","K09",34,1497369525,3
"1432","T2","Kup","K09",35,1497369525,6
"1500","T2","Kup","K09",37,1497369525,5
"1538","T2","Kup","K09",38,1497369525,2
"1576","T2","Kup","K09",39,1497369525,0
"1614","T2","Kup","K09",40,1497369525,2
"26","T2","Kup","K10",0,1497369540,0
"74","T2","Kup","K10",1,1497369540,5
"122","T2","Kup","K10",2,1497369540,3
"170","T2","Kup","K10",3,1497369540,2
"218","T2","Kup","K10",4,1497369540,1
"266","T2","Kup","K10",5,1497369540,3
"314","T2","Kup","K10",6,1497369540,2
"362","T2","Kup","K10",7,1497369540,1
"410","T2","Kup","K10",8,1497369540,4
"458","T2","Kup","K10",9,1497369540,4
"506","T2","Kup","K10",10,1497369540,1
"554","T2","Kup","K10",12,1497369540,9
"599","T2","Kup","K10",13,1497369540,14
"637","T2","Kup","K10",14,1497369540,20
"675","T2","Kup","K10",15,1497369540,3
"713","T2","Kup","K10",16,1497369540,4
"751","T2","Kup","K10",17,1497369540,7
"789","T2","Kup","K10",18,1497369540,3
"827","T2","Kup","K10",19,1497369540,0
"865","T2","Kup","K10",20,1497369540,3
"903","T2","Kup","K10",21,1497369540,2
"941","T2","Kup","K10",22,1497369540,5
"979","T2","Kup","K10",23,1497369540,4
"1017","T2","Kup","K10",24,1497369540,6
"1055","T2","Kup","K10",25,1497369540,8
"1093","T2","Kup","K10",26,1497369540,0
"1131","T2","Kup","K10",27,1497369540,4
"1168","T2","Kup","K10",28,1497369540,7
"1206","T2","Kup","K10",29,1497369540,1
"1244","T2","Kup","K10",30,1497369540,10
"1282","T2","Kup","K10",31,1497369540,2
"1320","T2","Kup","K10",32,1497369540,4
"1357","T2","Kup","K10",33,1497369540,5
"1395","T2","Kup","K10",34,1497369540,1
"1433","T2","Kup","K10",35,1497369540,0
"1501","T2","Kup","K10",37,1497369540,6
"1539","T2","Kup","K10",38,1497369540,2
"1577","T2","Kup","K10",39,1497369540,6
"1615","T2","Kup","K10",40,1497369540,3
"27","T2","Kup","K11",0,1497369536,0
"75","T2","Kup","K11",1,1497369536,1
"123","T2","Kup","K11",2,1497369536,0
"171","T2","Kup","K11",3,1497369536,0
"219","T2","Kup","K11",4,1497369536,2
"267","T2","Kup","K11",5,1497369536,0
"315","T2","Kup","K11",6,1497369536,2
"363","T2","Kup","K11",7,1497369536,3
"411","T2","Kup","K11",8,1497369536,1
"459","T2","Kup","K11",9,1497369536,1
"507","T2","Kup","K11",10,1497369536,1
"555","T2","Kup","K11",12,1497369536,4
"600","T2","Kup","K11",13,1497369536,0
"638","T2","Kup","K11",14,1497369536,3
"676","T2","Kup","K11",15,1497369536,0
"714","T2","Kup","K11",16,1497369536,2
"752","T2","Kup","K11",17,1497369536,2
"790","T2","Kup","K11",18,1497369536,0
"828","T2","Kup","K11",19,1497369536,0
"866","T2","Kup","K11",20,1497369536,2
"904","T2","Kup","K11",21,1497369536,6
"942","T2","Kup","K11",22,1497369536,4
"980","T2","Kup","K11",23,1497369536,9
"1018","T2","Kup","K11",24,1497369536,18
"1056","T2","Kup","K11",25,1497369536,44
"1094","T2","Kup","K11",26,1497369536,10
"1132","T2","Kup","K11",27,1497369536,9
"1169","T2","Kup","K11",28,1497369536,11
"1207","T2","Kup","K11",29,1497369536,4
"1245","T2","Kup","K11",30,1497369536,8
"1283","T2","Kup","K11",31,1497369536,2
"1321","T2","Kup","K11",32,1497369536,0
"1358","T2","Kup","K11",33,1497369536,1
"1396","T2","Kup","K11",34,1497369536,2
"1434","T2","Kup","K11",35,1497369536,0
"1502","T2","Kup","K11",37,1497369536,0
"1540","T2","Kup","K11",38,1497369536,3
"1578","T2","Kup","K11",39,1497369536,5
"1616","T2","Kup","K11",40,1497369536,5
"28","T2","Kup","K12",0,1497369540,0
"76","T2","Kup","K12",1,1497369540,0
"124","T2","Kup","K12",2,1497369540,0
"172","T2","Kup","K12",3,1497369540,0
"220","T2","Kup","K12",4,1497369540,1
"268","T2","Kup","K12",5,1497369540,0
"316","T2","Kup","K12",6,1497369540,0
"364","T2","Kup","K12",7,1497369540,2
"412","T2","Kup","K12",8,1497369540,0
"460","T2","Kup","K12",9,1497369540,0
"508","T2","Kup","K12",10,1497369540,0
"556","T2","Kup","K12",12,1497369540,1
"601","T2","Kup","K12",13,1497369540,0
"639","T2","Kup","K12",14,1497369540,1
"677","T2","Kup","K12",15,1497369540,1
"715","T2","Kup","K12",16,1497369540,0
"753","T2","Kup","K12",17,1497369540,4
"791","T2","Kup","K12",18,1497369540,0
"829","T2","Kup","K12",19,1497369540,0
"867","T2","Kup","K12",20,1497369540,2
"905","T2","Kup","K12",21,1497369540,0
"943","T2","Kup","K12",22,1497369540,2
"981","T2","Kup","K12",23,1497369540,7
"1019","T2","Kup","K12",24,1497369540,2
"1057","T2","Kup","K12",25,1497369540,35
"1095","T2","Kup","K12",26,1497369540,9
"1133","T2","Kup","K12",27,1497369540,3
"1170","T2","Kup","K12",28,1497369540,1
"1208","T2","Kup","K12",29,1497369540,4
"1246","T2","Kup","K12",30,1497369540,1
"1284","T2","Kup","K12",31,1497369540,4
"1322","T2","Kup","K12",32,1497369540,1
"1359","T2","Kup","K12",33,1497369540,0
"1397","T2","Kup","K12",34,1497369540,3
"1435","T2","Kup","K12",35,1497369540,0
"1503","T2","Kup","K12",37,1497369540,4
"1541","T2","Kup","K12",38,1497369540,5
"1579","T2","Kup","K12",39,1497369540,2
"1617","T2","Kup","K12",40,1497369540,7
"29","T2","Kup","K13",0,1497369535,0
"77","T2","Kup","K13",1,1497369535,0
"125","T2","Kup","K13",2,1497369535,1
"173","T2","Kup","K13",3,1497369535,9
"221","T2","Kup","K13",4,1497369535,5
"269","T2","Kup","K13",5,1497369535,0
"317","T2","Kup","K13",6,1497369535,2
"365","T2","Kup","K13",7,1497369535,4
"413","T2","Kup","K13",8,1497369535,6
"461","T2","Kup","K13",9,1497369535,1
"509","T2","Kup","K13",10,1497369535,8
"557","T2","Kup","K13",12,1497369535,14
"602","T2","Kup","K13",13,1497369535,2
"640","T2","Kup","K13",14,1497369535,2
"678","T2","Kup","K13",15,1497369535,4
"716","T2","Kup","K13",16,1497369535,8
"754","T2","Kup","K13",17,1497369535,5
"792","T2","Kup","K13",18,1497369535,1
"830","T2","Kup","K13",19,1497369535,0
"868","T2","Kup","K13",20,1497369535,8
"906","T2","Kup","K13",21,1497369535,9
"944","T2","Kup","K13",22,1497369535,1
"982","T2","Kup","K13",23,1497369535,3
"1020","T2","Kup","K13",24,1497369535,2
"1058","T2","Kup","K13",25,1497369535,8
"1096","T2","Kup","K13",26,1497369535,11
"1134","T2","Kup","K13",27,1497369535,3
"1171","T2","Kup","K13",28,1497369535,19
"1209","T2","Kup","K13",29,1497369535,20
"1247","T2","Kup","K13",30,1497369535,1
"1285","T2","Kup","K13",31,1497369535,0
"1323","T2","Kup","K13",32,1497369535,0
"1360","T2","Kup","K13",33,1497369535,0
"1398","T2","Kup","K13",34,1497369535,0
"1436","T2","Kup","K13",35,1497369535,0
"1504","T2","Kup","K13",37,1497369535,1
"1542","T2","Kup","K13",38,1497369535,0
"1580","T2","Kup","K13",39,1497369535,0
"1618","T2","Kup","K13",40,1497369535,0
"30","T2","Kup","K14",0,1497369535,0
"78","T2","Kup","K14",1,1497369535,0
"126","T2","Kup","K14",2,1497369535,1
"174","T2","Kup","K14",3,1497369535,1
"222","T2","Kup","K14",4,1497369535,0
"270","T2","Kup","K14",5,1497369535,0
"318","T2","Kup","K14",6,1497369535,2
"366","T2","Kup","K14",7,1497369535,0
"414","T2","Kup","K14",8,1497369535,2
"462","T2","Kup","K14",9,1497369535,1
"510","T2","Kup","K14",10,1497369535,1
"558","T2","Kup","K14",12,1497369535,5
"603","T2","Kup","K14",13,1497369535,0
"641","T2","Kup","K14",14,1497369535,1
"679","T2","Kup","K14",15,1497369535,4
"717","T2","Kup","K14",16,1497369535,0
"755","T2","Kup","K14",17,1497369535,2
"793","T2","Kup","K14",18,1497369535,0
"831","T2","Kup","K14",19,1497369535,0
"869","T2","Kup","K14",20,1497369535,2
"907","T2","Kup","K14",21,1497369535,1
"945","T2","Kup","K14",22,1497369535,0
"983","T2","Kup","K14",23,1497369535,1
"1021","T2","Kup","K14",24,1497369535,4
"1059","T2","Kup","K14",25,1497369535,27
"1097","T2","Kup","K14",26,1497369535,14
"1135","T2","Kup","K14",27,1497369535,21
"1172","T2","Kup","K14",28,1497369535,6
"1210","T2","Kup","K14",29,1497369535,15
"1248","T2","Kup","K14",30,1497369535,6
"1286","T2","Kup","K14",31,1497369535,NA
"1324","T2","Kup","K14",32,1497369535,1
"1361","T2","Kup","K14",33,1497369535,0
"1399","T2","Kup","K14",34,1497369535,0
"1437","T2","Kup","K14",35,1497369535,1
"1505","T2","Kup","K14",37,1497369535,0
"1543","T2","Kup","K14",38,1497369535,0
"1581","T2","Kup","K14",39,1497369535,0
"1619","T2","Kup","K14",40,1497369535,0
"31","T2","Kup","K15",0,1497369535,0
"79","T2","Kup","K15",1,1497369535,1
"127","T2","Kup","K15",2,1497369535,1
"175","T2","Kup","K15",3,1497369535,2
"223","T2","Kup","K15",4,1497369535,1
"271","T2","Kup","K15",5,1497369535,2
"319","T2","Kup","K15",6,1497369535,1
"367","T2","Kup","K15",7,1497369535,0
"415","T2","Kup","K15",8,1497369535,0
"463","T2","Kup","K15",9,1497369535,4
"511","T2","Kup","K15",10,1497369535,1
"559","T2","Kup","K15",12,1497369535,17
"604","T2","Kup","K15",13,1497369535,6
"642","T2","Kup","K15",14,1497369535,3
"680","T2","Kup","K15",15,1497369535,1
"718","T2","Kup","K15",16,1497369535,0
"756","T2","Kup","K15",17,1497369535,1
"794","T2","Kup","K15",18,1497369535,2
"832","T2","Kup","K15",19,1497369535,0
"870","T2","Kup","K15",20,1497369535,3
"908","T2","Kup","K15",21,1497369535,3
"946","T2","Kup","K15",22,1497369535,2
"984","T2","Kup","K15",23,1497369535,1
"1022","T2","Kup","K15",24,1497369535,3
"1060","T2","Kup","K15",25,1497369535,16
"1098","T2","Kup","K15",26,1497369535,14
"1136","T2","Kup","K15",27,1497369535,7
"1173","T2","Kup","K15",28,1497369535,3
"1211","T2","Kup","K15",29,1497369535,9
"1249","T2","Kup","K15",30,1497369535,5
"1287","T2","Kup","K15",31,1497369535,1
"1325","T2","Kup","K15",32,1497369535,0
"1362","T2","Kup","K15",33,1497369535,0
"1400","T2","Kup","K15",34,1497369535,0
"1438","T2","Kup","K15",35,1497369535,0
"1506","T2","Kup","K15",37,1497369535,0
"1544","T2","Kup","K15",38,1497369535,0
"1582","T2","Kup","K15",39,1497369535,0
"1620","T2","Kup","K15",40,1497369535,1
"32","T2","Kup","K16",0,1497369525,0
"80","T2","Kup","K16",1,1497369525,5
"128","T2","Kup","K16",2,1497369525,4
"176","T2","Kup","K16",3,1497369525,0
"224","T2","Kup","K16",4,1497369525,0
"272","T2","Kup","K16",5,1497369525,4
"320","T2","Kup","K16",6,1497369525,3
"368","T2","Kup","K16",7,1497369525,9
"416","T2","Kup","K16",8,1497369525,5
"464","T2","Kup","K16",9,1497369525,1
"512","T2","Kup","K16",10,1497369525,4
"560","T2","Kup","K16",12,1497369525,17
"605","T2","Kup","K16",13,1497369525,2
"643","T2","Kup","K16",14,1497369525,5
"681","T2","Kup","K16",15,1497369525,0
"719","T2","Kup","K16",16,1497369525,4
"757","T2","Kup","K16",17,1497369525,1
"795","T2","Kup","K16",18,1497369525,2
"833","T2","Kup","K16",19,1497369525,0
"871","T2","Kup","K16",20,1497369525,1
"909","T2","Kup","K16",21,1497369525,0
"947","T2","Kup","K16",22,1497369525,1
"985","T2","Kup","K16",23,1497369525,0
"1023","T2","Kup","K16",24,1497369525,3
"1061","T2","Kup","K16",25,1497369525,6
"1099","T2","Kup","K16",26,1497369525,3
"1137","T2","Kup","K16",27,1497369525,4
"1174","T2","Kup","K16",28,1497369525,6
"1212","T2","Kup","K16",29,1497369525,4
"1250","T2","Kup","K16",30,1497369525,0
"1288","T2","Kup","K16",31,1497369525,1
"1326","T2","Kup","K16",32,1497369525,0
"1363","T2","Kup","K16",33,1497369525,1
"1401","T2","Kup","K16",34,1497369525,0
"1439","T2","Kup","K16",35,1497369525,0
"1507","T2","Kup","K16",37,1497369525,0
"1545","T2","Kup","K16",38,1497369525,0
"1583","T2","Kup","K16",39,1497369525,0
"1621","T2","Kup","K16",40,1497369525,1
"1631","T2","Oks 3","O1",2,1497491929,8
"1645","T2","Oks 3","O1",3,1497491929,2
"1659","T2","Oks 3","O1",4,1497491929,5
"1673","T2","Oks 3","O1",5,1497491929,1
"1687","T2","Oks 3","O1",6,1497491929,3
"1701","T2","Oks 3","O1",7,1497491929,3
"1715","T2","Oks 3","O1",8,1497491929,1
"1729","T2","Oks 3","O1",9,1497491929,3
"1743","T2","Oks 3","O1",11,1497491929,4
"1757","T2","Oks 3","O1",12,1497491929,22
"1770","T2","Oks 3","O1",13,1497491929,6
"1783","T2","Oks 3","O1",14,1497491929,4
"1796","T2","Oks 3","O1",15,1497491929,1
"1809","T2","Oks 3","O1",16,1497491929,7
"1822","T2","Oks 3","O1",17,1497491929,0
"1835","T2","Oks 3","O1",19,1497491929,0
"1848","T2","Oks 3","O1",19,1497491929,2
"1861","T2","Oks 3","O1",20,1497491929,6
"1874","T2","Oks 3","O1",21,1497491929,4
"1886","T2","Oks 3","O1",22,1497491929,5
"1899","T2","Oks 3","O1",23,1497491929,6
"1911","T2","Oks 3","O1",24,1497491929,20
"1924","T2","Oks 3","O1",25,1497491929,21
"1937","T2","Oks 3","O1",26,1497491929,7
"1950","T2","Oks 3","O1",27,1497491929,0
"1963","T2","Oks 3","O1",28,1497491929,4
"1976","T2","Oks 3","O1",29,1497491929,2
"1989","T2","Oks 3","O1",30,1497491929,0
"2002","T2","Oks 3","O1",31,1497491929,0
"2015","T2","Oks 3","O1",32,1497491929,1
"2028","T2","Oks 3","O1",33,1497491929,2
"2041","T2","Oks 3","O1",34,1497491929,9
"2054","T2","Oks 3","O1",35,1497491929,3
"2067","T2","Oks 3","O1",36,1497491929,7
"2080","T2","Oks 3","O1",37,1497491929,8
"2093","T2","Oks 3","O1",38,1497491929,1
"2106","T2","Oks 3","O1",39,1497491929,1
"2119","T2","Oks 3","O1",40,1497491929,0
"2132","T2","Oks 3","O1",41,1497491929,0
"1632","T2","Oks 3","O2",2,1497491930,2
"1646","T2","Oks 3","O2",3,1497491930,1
"1660","T2","Oks 3","O2",4,1497491930,8
"1674","T2","Oks 3","O2",5,1497491930,1
"1688","T2","Oks 3","O2",6,1497491930,4
"1702","T2","Oks 3","O2",7,1497491930,6
"1716","T2","Oks 3","O2",8,1497491930,2
"1730","T2","Oks 3","O2",9,1497491930,3
"1744","T2","Oks 3","O2",11,1497491930,2
"1758","T2","Oks 3","O2",12,1497491930,33
"1771","T2","Oks 3","O2",13,1497491930,2
"1784","T2","Oks 3","O2",14,1497491930,0
"1797","T2","Oks 3","O2",15,1497491930,0
"1810","T2","Oks 3","O2",16,1497491930,4
"1823","T2","Oks 3","O2",17,1497491930,3
"1836","T2","Oks 3","O2",19,1497491930,0
"1849","T2","Oks 3","O2",19,1497491930,0
"1862","T2","Oks 3","O2",20,1497491930,0
"1875","T2","Oks 3","O2",21,1497491930,0
"1887","T2","Oks 3","O2",22,1497491930,4
"1900","T2","Oks 3","O2",23,1497491930,0
"1912","T2","Oks 3","O2",24,1497491930,3
"1925","T2","Oks 3","O2",25,1497491930,4
"1938","T2","Oks 3","O2",26,1497491930,7
"1951","T2","Oks 3","O2",27,1497491930,14
"1964","T2","Oks 3","O2",28,1497491930,5
"1977","T2","Oks 3","O2",29,1497491930,1
"1990","T2","Oks 3","O2",30,1497491930,5
"2003","T2","Oks 3","O2",31,1497491930,0
"2016","T2","Oks 3","O2",32,1497491930,NA
"2029","T2","Oks 3","O2",33,1497491930,4
"2042","T2","Oks 3","O2",34,1497491930,3
"2055","T2","Oks 3","O2",35,1497491930,4
"2068","T2","Oks 3","O2",36,1497491930,4
"2081","T2","Oks 3","O2",37,1497491930,5
"2094","T2","Oks 3","O2",38,1497491930,3
"2107","T2","Oks 3","O2",39,1497491930,1
"2120","T2","Oks 3","O2",40,1497491930,1
"2133","T2","Oks 3","O2",41,1497491930,0
"1633","T2","Oks 3","O4",2,1497491956,0
"1647","T2","Oks 3","O4",3,1497491956,3
"1661","T2","Oks 3","O4",4,1497491956,61
"1675","T2","Oks 3","O4",5,1497491956,9
"1689","T2","Oks 3","O4",6,1497491956,6
"1703","T2","Oks 3","O4",7,1497491956,7
"1717","T2","Oks 3","O4",8,1497491956,4
"1731","T2","Oks 3","O4",9,1497491956,1
"1745","T2","Oks 3","O4",11,1497491956,5
"1759","T2","Oks 3","O4",12,1497491956,49
"1772","T2","Oks 3","O4",13,1497491956,25
"1785","T2","Oks 3","O4",14,1497491956,3
"1798","T2","Oks 3","O4",15,1497491956,25
"1811","T2","Oks 3","O4",16,1497491956,16
"1824","T2","Oks 3","O4",17,1497491956,2
"1837","T2","Oks 3","O4",19,1497491956,0
"1850","T2","Oks 3","O4",19,1497491956,7
"1863","T2","Oks 3","O4",20,1497491956,4
"1888","T2","Oks 3","O4",22,1497491956,1
"1901","T2","Oks 3","O4",23,1497491956,0
"1913","T2","Oks 3","O4",24,1497491956,6
"1926","T2","Oks 3","O4",25,1497491956,3
"1939","T2","Oks 3","O4",26,1497491956,4
"1952","T2","Oks 3","O4",27,1497491956,5
"1965","T2","Oks 3","O4",28,1497491956,0
"1978","T2","Oks 3","O4",29,1497491956,0
"1991","T2","Oks 3","O4",30,1497491956,5
"2004","T2","Oks 3","O4",31,1497491956,2
"2017","T2","Oks 3","O4",32,1497491956,1
"2030","T2","Oks 3","O4",33,1497491956,4
"2043","T2","Oks 3","O4",34,1497491956,6
"2056","T2","Oks 3","O4",35,1497491956,0
"2069","T2","Oks 3","O4",36,1497491956,2
"2082","T2","Oks 3","O4",37,1497491956,5
"2095","T2","Oks 3","O4",38,1497491956,5
"2108","T2","Oks 3","O4",39,1497491956,2
"2121","T2","Oks 3","O4",40,1497491956,2
"2134","T2","Oks 3","O4",41,1497491956,2
"1634","T2","Oks 3","O5",2,1497491984,3
"1648","T2","Oks 3","O5",3,1497491984,1
"1662","T2","Oks 3","O5",4,1497491984,0
"1676","T2","Oks 3","O5",5,1497491984,0
"1690","T2","Oks 3","O5",6,1497491984,1
"1704","T2","Oks 3","O5",7,1497491984,0
"1718","T2","Oks 3","O5",8,1497491984,0
"1732","T2","Oks 3","O5",9,1497491984,1
"1746","T2","Oks 3","O5",11,1497491984,1
"1760","T2","Oks 3","O5",12,1497491984,2
"1773","T2","Oks 3","O5",13,1497491984,4
"1786","T2","Oks 3","O5",14,1497491984,43
"1799","T2","Oks 3","O5",15,1497491984,0
"1812","T2","Oks 3","O5",16,1497491984,0
"1825","T2","Oks 3","O5",17,1497491984,0
"1838","T2","Oks 3","O5",19,1497491984,0
"1851","T2","Oks 3","O5",19,1497491984,0
"1864","T2","Oks 3","O5",20,1497491984,0
"1876","T2","Oks 3","O5",21,1497491984,0
"1889","T2","Oks 3","O5",22,1497491984,0
"1902","T2","Oks 3","O5",23,1497491984,0
"1914","T2","Oks 3","O5",24,1497491984,0
"1927","T2","Oks 3","O5",25,1497491984,0
