"","tank_aq","Date","temp_C","minimum","maximum","n","v","se","na.rm"
"1","T1_A1",2017-05-21,7.04545454545455,6.875,7.25,66,0.014729020979021,0.0149387745324247,1
"2","T1_A1",2017-05-22,7.0546875,6.625,7.25,144,0.021136090472028,0.0121152138262496,1
"3","T1_A1",2017-05-23,7.09982638888889,6.875,7.25,144,0.00646413048756799,0.00669998470539713,1
"4","T1_A1",2017-05-24,7.08159722222222,6.875,7.25,144,0.0131816967754468,0.00956763089487688,1
"5","T1_A1",2017-05-25,7.09288194444444,6.875,7.375,144,0.00759320974164724,0.00726158544712404,1
"6","T1_A1",2017-05-26,7.02534965034965,6.75,7.25,143,0.0214699473062149,0.0122531421134276,1
"7","T1_A1",2017-05-27,6.97395833333333,6.625,7.125,144,0.0218258304195804,0.0123113064620552,1
"8","T1_A1",2017-05-28,6.99739583333333,6.625,7.125,144,0.0212999890734266,0.012162096479953,1
"9","T1_A1",2017-05-29,7.08850364963504,6.75,8.375,137,0.0379505018248175,0.016643646301966,1
"10","T1_A1",2017-05-30,7.26475694444444,7.125,7.375,144,0.00426060484654235,0.00543944240309097,1
"11","T1_A1",2017-05-31,7.21354166666667,7,7.375,144,0.0124289772727273,0.00929044359391505,1
"12","T1_A1",2017-06-01,7.17361111111111,7,7.375,144,0.0140102952602953,0.00986375775682796,1
"13","T1_A1",2017-06-02,7.14322916666667,6.875,7.375,144,0.0187868771853147,0.0114221024727507,1
"14","T1_A1",2017-06-03,7.18055555555556,6.875,7.5,144,0.0180895493395493,0.0112081162740907,1
"15","T1_A1",2017-06-04,7.14670138888889,7,7.375,144,0.0112171899281274,0.00882593634005269,1
"16","T1_A1",2017-06-05,7.13368055555556,6.75,7.375,144,0.0180622329059829,0.0111996505730409,1
"17","T1_A1",2017-06-06,7.15364583333333,6.875,7.375,144,0.0209175590034965,0.012052419940127,1
"18","T1_A1",2017-06-07,7.13888888888889,6.75,7.375,144,0.0277777777777778,0.0138888888888889,1
"19","T1_A1",2017-06-08,7.13368055555556,6.875,7.375,144,0.0217772678710179,0.0122976024851216,1
"20","T1_A1",2017-06-09,7.33159722222222,6.875,8.5,144,0.0973163121600622,0.025996302108834,1
"21","T1_A1",2017-06-10,7.26329787234043,7.25,7.75,47,0.00559377890841813,0.0109094716883786,1
"22","T1_A1",2017-06-17,7.07065217391304,6.875,7.25,23,0.0253211462450593,0.0331801055145866,1
"23","T1_A1",2017-06-18,7.12152777777778,6.75,7.375,144,0.0246819153069153,0.0130920659038731,1
"24","T1_A1",2017-06-19,6.93229166666667,6.375,7.5,144,0.114483173076923,0.0281961351120399,1
"25","T1_A1",2017-06-20,6.98350694444444,6.375,7.5,144,0.122431496454934,0.0291585103422909,1
"26","T1_A1",2017-06-21,7.02083333333333,6.125,7.5,144,0.107736013986014,0.0273526372365036,1
"27","T1_A1",2017-06-22,7.02430555555556,6.75,7.375,144,0.0273771367521368,0.0137883648495089,1
"28","T1_A1",2017-06-23,7.09722222222222,6.875,7.375,144,0.0243541181041181,0.0130048383368455,1
"29","T1_A1",2017-06-24,6.69270833333333,5,7.25,144,0.504124781468531,0.0591681209603272,1
"30","T1_A1",2017-06-25,7.04947916666667,6.625,7.375,144,0.019497104458042,0.0116360026957887,1
"31","T1_A1",2017-06-26,7.0078125,6.75,7.375,144,0.0271457058566434,0.013729961625099,1
"32","T1_A1",2017-06-27,7.03472222222222,6.5,7.375,144,0.0503593628593629,0.0187007432374883,1
"33","T1_A1",2017-06-28,7.31423611111111,6.625,9.625,144,0.257427034770785,0.042281056532019,1
"34","T1_A1",2017-06-29,7.12847222222222,6.875,7.375,144,0.0203112859362859,0.0118764724047069,1
"35","T1_A1",2017-06-30,6.890625,6.625,7.25,144,0.0334079982517482,0.0152315458131919,1
"36","T1_A1",2017-07-01,7.22395833333333,6.875,7.5,144,0.0283817744755245,0.0140390760408237,1
"37","T1_A1",2017-07-02,7.44642857142857,7.375,7.5,7,0.00446428571428571,0.0252538136138053,1
"38","T1_A1",2017-07-03,7.54427083333333,7.5,7.625,144,0.00359894012237762,0.00499926391969193,1
"39","T1_A1",2017-07-04,7.40451388888889,7.125,7.625,144,0.0192277340714841,0.0115553421001705,1
"40","T1_A1",2017-07-05,7.75607638888889,7.375,8.375,144,0.111086071047009,0.0277746475934,1
"41","T1_A1",2017-07-06,8.88541666666667,8,10.75,144,0.748798076923077,0.0721109329110305,1
"42","T1_A1",2017-07-07,8.80381944444444,7.5,10.125,144,1.19835069444444,0.0912243378848587,1
"43","T1_A1",2017-07-08,7.18402777777778,6.625,7.75,144,0.109035062160062,0.0275170480187664,1
"44","T1_A1",2017-07-09,7.08854166666667,6.75,7.375,144,0.024885270979021,0.0131458883989922,1
"45","T1_A1",2017-07-10,7.13541666666667,6.75,7.375,144,0.0289554195804196,0.0141802433914867,1
"46","T1_A1",2017-07-11,7.10677083333333,6.875,7.375,144,0.0251242897727273,0.0132088695403062,1
"47","T1_A1",2017-07-12,7.11197916666667,6.875,7.375,144,0.0217916848776224,0.0123016724466021,1
"48","T1_A1",2017-07-13,7.10590277777778,6.875,7.375,144,0.0158040743978244,0.010476188078283,1
"49","T1_A1",2017-07-14,7.07725694444444,6.75,7.375,144,0.0205411992521368,0.011943501037331,1
"50","T1_A1",2017-07-15,7.0625,6.875,7.375,144,0.0179195804195804,0.0111553364221583,1
"51","T1_A1",2017-07-16,7.14149305555556,6.875,7.375,144,0.017973454496892,0.0111720927416674,1
"52","T1_A1",2017-07-17,7.1015625,6.875,7.25,16,0.0150390625,0.0306584638599197,1
"53","T1_A1",2017-08-03,7.09375,7,7.25,32,0.0100806451612903,0.0177488073202208,1
"54","T1_A1",2017-08-04,6.96440972222222,6.5,7.25,144,0.0357655582264957,0.0157598201807141,1
"55","T1_A1",2017-08-05,6.9296875,6.375,7.25,144,0.035122104458042,0.0156174102584534,1
"56","T1_A1",2017-08-06,6.8515625,6.375,7.25,144,0.0421697443181818,0.0171127276216867,1
"57","T1_A1",2017-08-07,6.92100694444444,6.5,7.25,144,0.0204865663850039,0.0119276075605329,1
"58","T1_A1",2017-08-08,6.95746527777778,6.5,7.75,144,0.0500793694153069,0.0186486835652656,1
"59","T1_A1",2017-08-09,6.94357638888889,6.625,7.25,144,0.0257495325854701,0.0133722174118659,1
"60","T1_A1",2017-08-10,6.98003472222222,6.75,7.25,144,0.0176274463383838,0.0110640327997676,1
"61","T1_A1",2017-08-11,7.09809027777778,7,7.25,144,0.00746573305167055,0.00720037279690287,1
"62","T1_A1",2017-08-12,7.11892361111111,6.875,7.25,144,0.0103430640540016,0.00847507130992679,1
"63","T1_A1",2017-08-13,7.17447916666667,6.875,7.625,144,0.0116299715909091,0.00898686216671511,1
"64","T1_A1",2017-08-14,7.14583333333333,7.125,7.25,144,0.00218531468531469,0.00389561245836857,1
"65","T1_A1",2017-08-15,7.1640625,7,7.375,144,0.00643984921328671,0.00668738925831814,1
"66","T1_A1",2017-08-16,7.09651898734177,6.875,7.25,79,0.00598932976306394,0.00870714079352561,1
"67","T1_A2",2017-05-21,7.30681818181818,7.125,7.5,66,0.0173951048951049,0.0162345987132537,1
"68","T1_A2",2017-05-22,7.35590277777778,6.875,7.5,144,0.0278233051670552,0.013900266076354,1
"69","T1_A2",2017-05-23,7.42621527777778,7.25,7.625,144,0.00773889738733489,0.00733091692543323,1
"70","T1_A2",2017-05-24,7.3671875,7,7.625,144,0.0229936079545455,0.0126363694555706,1
"71","T1_A2",2017-05-25,7.38715277777778,7,7.625,144,0.0123075709013209,0.00924495767271457,1
"72","T1_A2",2017-05-26,7.23524305555556,6.75,7.625,144,0.0628270384129759,0.020887768618689,1
"73","T1_A2",2017-05-27,7.05729166666667,6.625,7.375,144,0.0377786276223776,0.016197270779701,1
"74","T1_A2",2017-05-28,7.07986111111111,6.625,7.25,144,0.0329132672882673,0.015118345020819,1
"75","T1_A2",2017-05-29,7.1491935483871,6.75,8.125,124,0.0342168240230789,0.0166115059286742,1
"76","T1_A2",2017-06-17,6.90217391304348,6.625,7.125,23,0.0340291501976285,0.0384646366089959,1
"77","T1_A2",2017-06-18,6.97309027777778,6.625,7.25,144,0.0339080407439782,0.0153451133969911,1
"78","T1_A2",2017-06-19,6.74826388888889,6,7.375,144,0.156465496309246,0.0329630997721996,1
"79","T1_A2",2017-06-20,6.81944444444444,6,7.375,144,0.164505633255633,0.0337994116952041,1
"80","T1_A2",2017-06-21,6.87152777777778,5.875,7.375,144,0.139192404817405,0.0310904152809687,1
"81","T1_A2",2017-06-22,6.87760416666667,6.5,7.25,144,0.0341933457167832,0.0154095356743765,1
"82","T1_A2",2017-06-23,6.95833333333333,6.625,7.25,144,0.0321241258741259,0.0149360037312263,1
"83","T1_A2",2017-06-24,6.54340277777778,4.75,7.25,144,0.594475403069153,0.0642518591964657,1
"84","T1_A2",2017-06-25,6.92621527777778,6.5,7.25,144,0.024128757527195,0.0129445284255965,1
"85","T1_A2",2017-06-26,6.86805555555556,6.5,7.25,144,0.0373203185703186,0.0160987228984335,1
"86","T1_A2",2017-06-27,6.87760416666667,6.25,7.25,144,0.0656618771853147,0.021353811327989,1
"87","T1_A2",2017-06-28,7.23003472222222,6.375,10.5,144,0.450538285499223,0.0559351239718355,1
"88","T1_A2",2017-06-29,6.97222222222222,6.625,7.25,144,0.0258838383838384,0.0134070458217142,1
"89","T1_A2",2017-06-30,6.71180555555556,6.375,7,144,0.0424558080808081,0.0171706726880797,1
"90","T1_A2",2017-07-01,7.06336805555556,6.625,7.25,144,0.0367125279234654,0.0159670946192356,1
"91","T1_A2",2017-07-02,7.25,7.25,7.25,6,0,0,1
"92","T1_A2",2017-07-03,7.20920138888889,7.125,7.375,144,0.00455198013791764,0.00562236366486406,1
"93","T1_A2",2017-07-04,7.0703125,6.75,7.25,144,0.0178581184440559,0.0111361892681947,1
"94","T1_A2",2017-07-05,7.44965277777778,7,8.125,144,0.120699179292929,0.0289514895141819,1
"95","T1_A2",2017-07-06,8.51649305555556,7.75,10.125,144,0.622431496454934,0.0657452731959014,1
"96","T1_A2",2017-07-07,8.30555555555556,6.75,9.875,144,1.41975038850039,0.0992943991266343,1
"97","T1_A2",2017-07-08,6.73697916666667,6,7.375,144,0.135865111451049,0.0307165707462611,1
"98","T1_A2",2017-07-09,6.67447916666667,6.25,7.125,144,0.0439726289335664,0.0174747096887279,1
"99","T1_A2",2017-07-10,6.73784722222222,6.125,7.125,144,0.057106521950272,0.0199141424394602,1
"100","T1_A2",2017-07-11,6.69704861111111,6.25,7.125,144,0.0610969976204351,0.0205981723873131,1
"101","T1_A2",2017-07-12,6.73177083333333,6.375,7.125,144,0.0404214925699301,0.0167542475066296,1
"102","T1_A2",2017-07-13,6.65451388888889,6.25,7,144,0.0351805312742813,0.0156303949073684,1
"103","T1_A2",2017-07-14,6.60850694444444,6.125,7.125,144,0.052501426524864,0.0190943248049257,1
"104","T1_A2",2017-07-15,6.56336805555556,6.125,7,144,0.0482946957556333,0.0183133784877707,1
"105","T1_A2",2017-07-16,6.71961805555556,6.375,7.125,144,0.0382968810703186,0.0163079907710399,1
"106","T1_A2",2017-07-17,6.72058823529412,6.375,7,17,0.0479090073529412,0.0530865039639472,1
"107","T1_A2",2017-08-03,7.41287878787879,7.25,7.625,33,0.0112156723484848,0.018435532513193,1
"108","T1_A2",2017-08-04,7.29774305555556,7,7.625,144,0.0270971433080808,0.0137176749599237,1
"109","T1_A2",2017-08-05,7.31510416666667,6.75,7.625,144,0.0347396743881119,0.0155321517764389,1
"110","T1_A2",2017-08-06,7.17795138888889,6.375,7.5,144,0.065249095522533,0.0212865854214921,1
"111","T1_A2",2017-08-07,7.22222222222222,6.75,7.5,144,0.0300359362859363,0.0144423990692183,1
"112","T1_A2",2017-08-08,7.33854166666667,6.875,8.625,144,0.0777698863636364,0.0232393772572122,1
"113","T1_A2",2017-08-09,7.29166666666667,7,7.625,144,0.0264423076923077,0.0135509090747498,1
"114","T1_A2",2017-08-10,7.25954861111111,6.875,7.625,144,0.0268968227952603,0.0136668757085792,1
"115","T1_A2",2017-08-11,7.36371527777778,7.125,7.625,144,0.0130929183663559,0.00953535758169585,1
"116","T1_A2",2017-08-12,7.39756944444444,7.125,7.5,144,0.0117248203185703,0.0090234341203006,1
"117","T1_A2",2017-08-13,7.4921875,7.375,8.625,144,0.0369796219405594,0.0160250719231701,1
"118","T1_A2",2017-08-14,7.42881944444444,7.375,7.5,144,0.00385768745143745,0.00517585704888938,1
"119","T1_A2",2017-08-15,7.453125,7.25,7.625,144,0.00915100524475524,0.00797174055856201,1
"120","T1_A2",2017-08-16,7.37658227848101,7.25,7.5,79,0.00500547711781889,0.00795992901009857,1
"121","T1_A3",2017-05-21,7.51704545454545,7.125,7.875,66,0.0393684440559441,0.024423177037503,1
"122","T1_A3",2017-05-22,7.69704861111111,7.125,8,144,0.0484221724456099,0.0183375321793268,1
"123","T1_A3",2017-05-23,7.77951388888889,7.375,7.875,144,0.0152941676379176,0.0103057992162442,1
"124","T1_A3",2017-05-24,7.71180555555556,7.375,8,144,0.0313107031857032,0.0147456922112733,1
"125","T1_A3",2017-05-25,7.74392361111111,7.375,7.875,144,0.014276630487568,0.00995707121973011,1
"126","T1_A3",2017-05-26,7.41695804195804,6.75,7.875,143,0.16636092780459,0.0341081094682867,1
"127","T1_A3",2017-05-27,7.06597222222222,6.625,7.375,144,0.0406347125097125,0.016798378003238,1
"128","T1_A3",2017-05-28,7.07899305555556,6.625,7.375,144,0.0342540489024864,0.0154232078245934,1
"129","T1_A3",2017-05-29,7.1478102189781,6.625,7.625,137,0.0317598754830399,0.0152257646322058,1
"130","T1_A3",2017-05-30,7.15451388888889,6.875,7.25,144,0.0102679438616939,0.00844423861021273,1
"131","T1_A3",2017-05-31,7.08246527777778,6.625,7.375,144,0.0380601386460761,0.016257506523927,1
"132","T1_A3",2017-06-01,7.015625,6.625,7.375,144,0.0445531031468531,0.0175896716749041,1
"133","T1_A3",2017-06-02,6.93315972222222,6.375,7.25,144,0.077996764520202,0.0232732506981074,1
"134","T1_A3",2017-06-03,6.9375,6.5,7.25,144,0.058784965034965,0.0202046757918538,1
"135","T1_A3",2017-06-04,6.9765625,6.625,7.25,144,0.0369249890734266,0.0160132300062208,1
"136","T1_A3",2017-06-05,7.04774305555556,6.5,7.25,144,0.0426128775738151,0.0172024056727328,1
"137","T1_A3",2017-06-06,7.06423611111111,6.625,7.375,144,0.0491665452602953,0.0184779420414013,1
"138","T1_A3",2017-06-07,7.01736111111111,6.5,7.375,144,0.0639447358197358,0.0210727469831257,1
"139","T1_A3",2017-06-08,7.00954861111111,6.625,7.375,144,0.0502796899281274,0.0186859442734311,1
"140","T1_A3",2017-06-09,7.10850694444444,6.5,7.5,144,0.0470381398115773,0.0180735649137493,1
"141","T1_A3",2017-06-10,7.22872340425532,7.125,7.5,47,0.00497224791859389,0.0102855485466869,1
"142","T1_A3",2017-06-17,6.703125,6.375,7,24,0.0540930706521739,0.0474750244216955,1
"143","T1_A3",2017-06-18,6.78385416666667,6.25,7.25,144,0.0612366149475524,0.0206216941706814,1
"144","T1_A3",2017-06-19,6.56597222222222,5.625,7.25,144,0.219611985236985,0.0390523140263467,1
"145","T1_A3",2017-06-20,6.66059027777778,5.75,7.25,144,0.220206117667055,0.039105103892787,1
"146","T1_A3",2017-06-21,6.78038194444444,5.5,7.25,144,0.205691985965423,0.0377943986485343,1
"147","T1_A3",2017-06-22,6.70138888888889,6.25,7.125,144,0.0649281274281274,0.0212341652486374,1
"148","T1_A3",2017-06-23,6.79861111111111,6.375,7.25,144,0.0568424630924631,0.0198680478918034,1
"149","T1_A3",2017-06-24,6.34635416666667,4.25,7.125,144,0.76698399256993,0.0729813519070459,1
"150","T1_A3",2017-06-25,6.79166666666667,6.375,7.25,144,0.0441433566433566,0.0175086003952654,1
"151","T1_A3",2017-06-26,6.69618055555556,6.25,7.125,144,0.0689800650738151,0.0218867135422217,1
"152","T1_A3",2017-06-27,6.66840277777778,5.75,7.125,144,0.118513864607615,0.0286882022557007,1
"153","T1_A3",2017-06-28,6.89409722222222,6,9.5,144,0.290935193278943,0.0449486739143585,1
"154","T1_A3",2017-06-29,6.71875,6.375,7,144,0.0339816433566434,0.0153617588322801,1
"155","T1_A3",2017-06-30,6.49826388888889,6.125,6.875,144,0.0576892725330225,0.0200154927030535,1
"156","T1_A3",2017-07-01,6.86111111111111,6.375,7.125,144,0.0638354700854701,0.0210547352297183,1
"157","T1_A3",2017-07-02,7.30357142857143,7,7.875,7,0.0930059523809524,0.115267361494268,1
"158","T1_A3",2017-07-03,7.34375,7.25,7.375,144,0.00295017482517483,0.00452629265236188,1
"159","T1_A3",2017-07-04,7.1484375,6.75,7.375,144,0.0286207932692308,0.01409806755602,1
"160","T1_A3",2017-07-05,7.54947916666667,7.125,8.125,144,0.101664936625874,0.026570782908043,1
"161","T1_A3",2017-07-06,8.64149305555556,7.875,10.625,144,0.710936741210179,0.0702642206449944,1
"162","T1_A3",2017-07-07,8.56510416666667,7.125,10,144,1.29151414991259,0.0947040034173944,1
"163","T1_A3",2017-07-08,7.015625,6.375,7.75,144,0.141799606643357,0.0313802404480728,1
"164","T1_A3",2017-07-09,6.88541666666667,6.5,7.25,144,0.0368225524475524,0.0159910027757696,1
"165","T1_A3",2017-07-10,6.93576388888889,6.5,7.25,144,0.04392179001554,0.0174646050818068,1
"166","T1_A3",2017-07-11,6.91840277777778,6.5,7.25,144,0.0453058226495726,0.017737637057957,1
"167","T1_A3",2017-07-12,6.92708333333333,6.625,7.25,144,0.0368225524475524,0.0159910027757696,1
"168","T1_A3",2017-07-13,6.84461805555556,6.5,7.25,144,0.0339262516996892,0.0153492335358066,1
"169","T1_A3",2017-07-14,6.80295138888889,6.375,7.25,144,0.0510445500679876,0.018827534149187,1
"170","T1_A3",2017-07-15,6.76128472222222,6.5,7.125,144,0.0360387225621601,0.0158198895913235,1
"171","T1_A3",2017-07-16,6.90451388888889,6.5,7.25,144,0.0362731886169386,0.0158712678502124,1
"172","T1_A3",2017-07-17,6.86764705882353,6.625,7.125,17,0.0341222426470588,0.0448016823785071,1
"173","T1_A3",2017-08-03,6.8671875,6.75,7.125,32,0.0130418346774194,0.0201880492784557,1
"174","T1_A3",2017-08-04,6.77430555555556,6.375,7.125,144,0.0407075563325563,0.0168134280686756,1
"175","T1_A3",2017-08-05,6.82986111111111,6.375,7.125,144,0.0294167637917638,0.0142927632698246,1
"176","T1_A3",2017-08-06,6.82291666666667,6.5,7.5,144,0.0337631118881119,0.0153122844402315,1
"177","T1_A3",2017-08-07,6.7734375,6.375,7.125,144,0.0284022618006993,0.0140441421657402,1
"178","T1_A3",2017-08-08,6.86979166666667,6.375,8.375,144,0.0994045017482517,0.0262737328889219,1
"179","T1_A3",2017-08-09,6.81684027777778,6.5,7.125,144,0.0286086526320901,0.0140950771134449,1
"180","T1_A3",2017-08-10,6.84982638888889,6.625,7.125,144,0.0197945500679876,0.0117244254976486,1
"181","T1_A3",2017-08-11,6.92534722222222,6.75,7.125,144,0.008155472999223,0.00752563812319399,1
"182","T1_A3",2017-08-12,6.96788194444444,6.75,7.125,144,0.0106526503010878,0.00860097309622572,1
"183","T1_A3",2017-08-13,6.99565972222222,6.625,7.5,144,0.0182284078768454,0.0112510517646763,1
"184","T1_A3",2017-08-14,7.01736111111111,6.875,7.125,144,0.00319298756798757,0.00470887723111268,1
"185","T1_A3",2017-08-15,7.01215277777778,6.875,7.125,144,0.00924813034188034,0.00801393332728499,1
"186","T1_A3",2017-08-16,6.9453125,6.75,7.125,80,0.00903629351265823,0.0106279663580681,1
"187","T1_A4",2017-05-21,6.71022727272727,6.125,7.125,66,0.0885380244755245,0.0366262913673515,1
"188","T1_A4",2017-05-22,6.99479166666667,6.25,7.375,144,0.0917559003496504,0.0252426970117721,1
"189","T1_A4",2017-05-23,7.08072916666667,6.625,7.375,144,0.0381269121503496,0.0162717615292972,1
"190","T1_A4",2017-05-24,7.00260416666667,6.625,7.25,144,0.0385639750874126,0.0163647603878418,1
"191","T1_A4",2017-05-25,7.08159722222222,6.625,7.25,144,0.0212673611111111,0.0121527777777778,1
"192","T1_A4",2017-05-26,7.01724137931035,6.5,8.25,145,0.0658899066091954,0.0213169685703416,1
"193","T1_A4",2017-05-27,6.921875,6.375,7.25,144,0.0644394667832168,0.0211541082796149,1
"194","T1_A4",2017-05-28,6.93142361111111,6.5,7.25,144,0.0532844976204351,0.0192361959200681,1
"195","T1_A4",2017-05-29,7.00185185185185,6.5,7.75,135,0.0398752763957988,0.0171864021175654,1
