TreatmentTemp.C,TreatmentTank,Aquarium,Chamber.num,Location,Family,ID,Fertilization.Date,Date,days.post.fert,Initial.num.indiv.calc.,num.remaining..calc.
8,T1,A1,1,Kup,K01,T1-A1-K01,6/13/17,6/13/17,0,350,350
8,T1,A1,2,Kup,K02,T1-A1-K02,6/13/17,6/13/17,0,350,350
8,T1,A1,3,Kup,K03,T1-A1-K03,6/13/17,6/13/17,0,350,350
8,T1,A1,4,Kup,K04,T1-A1-K04,6/13/17,6/13/17,0,350,350
8,T1,A2,5,Kup,K05,T1-A2-K05,6/13/17,6/13/17,0,350,350
8,T1,A2,6,Kup,K06,T1-A2-K06,6/13/17,6/13/17,0,350,350
8,T1,A2,7,Kup,K07,T1-A2-K07,6/13/17,6/13/17,0,350,350
8,T1,A2,8,Kup,K08,T1-A2-K08,6/13/17,6/13/17,0,350,350
8,T1,A3,9,Kup,K09,T1-A3-K09,6/13/17,6/13/17,0,350,350
8,T1,A3,10,Kup,K10,T1-A3-K10,6/13/17,6/13/17,0,350,350
8,T1,A3,11,Kup,K11,T1-A3-K11,6/13/17,6/13/17,0,350,350
8,T1,A3,12,Kup,K12,T1-A3-K12,6/13/17,6/13/17,0,350,350
8,T1,A4,13,Kup,K13,T1-A4-K13,6/13/17,6/13/17,0,350,350
8,T1,A4,14,Kup,K14,T1-A4-K14,6/13/17,6/13/17,0,350,350
8,T1,A4,15,Kup,K15,T1-A4-K15,6/13/17,6/13/17,0,350,350
8,T1,A4,16,Kup,K16,T1-A4-K16,6/13/17,6/13/17,0,350,350
12,T2,A1,1,Kup,K01,T2-A1-K01,6/13/17,6/13/17,0,350,350
12,T2,A1,2,Kup,K02,T2-A1-K02,6/13/17,6/13/17,0,350,350
12,T2,A1,3,Kup,K03,T2-A1-K03,6/13/17,6/13/17,0,350,350
12,T2,A1,4,Kup,K04,T2-A1-K04,6/13/17,6/13/17,0,350,350
12,T2,A2,5,Kup,K05,T2-A2-K05,6/13/17,6/13/17,0,350,350
12,T2,A2,6,Kup,K06,T2-A2-K06,6/13/17,6/13/17,0,350,350
12,T2,A2,7,Kup,K07,T2-A2-K07,6/13/17,6/13/17,0,350,350
12,T2,A2,8,Kup,K08,T2-A2-K08,6/13/17,6/13/17,0,350,350
12,T2,A3,9,Kup,K09,T2-A3-K09,6/13/17,6/13/17,0,350,350
12,T2,A3,10,Kup,K10,T2-A3-K10,6/13/17,6/13/17,0,350,350
12,T2,A3,11,Kup,K11,T2-A3-K11,6/13/17,6/13/17,0,350,350
12,T2,A3,12,Kup,K12,T2-A3-K12,6/13/17,6/13/17,0,350,350
12,T2,A4,13,Kup,K13,T2-A4-K13,6/13/17,6/13/17,0,350,350
12,T2,A4,14,Kup,K14,T2-A4-K14,6/13/17,6/13/17,0,350,350
12,T2,A4,15,Kup,K15,T2-A4-K15,6/13/17,6/13/17,0,350,350
12,T2,A4,16,Kup,K16,T2-A4-K16,6/13/17,6/13/17,0,350,350
16,T3,A1,1,Kup,K01,T3-A1-K01,6/13/17,6/13/17,0,350,350
16,T3,A1,2,Kup,K02,T3-A1-K02,6/13/17,6/13/17,0,350,350
16,T3,A1,3,Kup,K03,T3-A1-K03,6/13/17,6/13/17,0,350,350
16,T3,A1,4,Kup,K04,T3-A1-K04,6/13/17,6/13/17,0,350,350
16,T3,A2,5,Kup,K05,T3-A2-K05,6/13/17,6/13/17,0,350,350
16,T3,A2,6,Kup,K06,T3-A2-K06,6/13/17,6/13/17,0,350,350
16,T3,A2,7,Kup,K07,T3-A2-K07,6/13/17,6/13/17,0,350,350
16,T3,A2,8,Kup,K08,T3-A2-K08,6/13/17,6/13/17,0,350,350
16,T3,A3,9,Kup,K09,T3-A3-K09,6/13/17,6/13/17,0,350,350
16,T3,A3,10,Kup,K10,T3-A3-K10,6/13/17,6/13/17,0,350,350
16,T3,A3,11,Kup,K11,T3-A3-K11,6/13/17,6/13/17,0,350,350
16,T3,A3,12,Kup,K12,T3-A3-K12,6/13/17,6/13/17,0,350,350
16,T3,A4,13,Kup,K13,T3-A4-K13,6/13/17,6/13/17,0,350,350
16,T3,A4,14,Kup,K14,T3-A4-K14,6/13/17,6/13/17,0,350,350
16,T3,A4,15,Kup,K15,T3-A4-K15,6/13/17,6/13/17,0,350,350
16,T3,A4,16,Kup,K16,T3-A4-K16,6/13/17,6/13/17,0,350,350
8,T1,A1,1,Kup,K01,T1-A1-K01,6/13/17,6/14/17,1,350,348
8,T1,A1,2,Kup,K02,T1-A1-K02,6/13/17,6/14/17,1,350,347
8,T1,A1,3,Kup,K03,T1-A1-K03,6/13/17,6/14/17,1,350,349
8,T1,A1,4,Kup,K04,T1-A1-K04,6/13/17,6/14/17,1,350,350
8,T1,A2,5,Kup,K05,T1-A2-K05,6/13/17,6/14/17,1,350,347
8,T1,A2,6,Kup,K06,T1-A2-K06,6/13/17,6/14/17,1,350,350
8,T1,A2,7,Kup,K07,T1-A2-K07,6/13/17,6/14/17,1,350,350
8,T1,A2,8,Kup,K08,T1-A2-K08,6/13/17,6/14/17,1,350,350
8,T1,A3,9,Kup,K09,T1-A3-K09,6/13/17,6/14/17,1,350,350
8,T1,A3,10,Kup,K10,T1-A3-K10,6/13/17,6/14/17,1,350,350
8,T1,A3,11,Kup,K11,T1-A3-K11,6/13/17,6/14/17,1,350,349
8,T1,A3,12,Kup,K12,T1-A3-K12,6/13/17,6/14/17,1,350,350
8,T1,A4,13,Kup,K13,T1-A4-K13,6/13/17,6/14/17,1,350,350
8,T1,A4,14,Kup,K14,T1-A4-K14,6/13/17,6/14/17,1,350,349
8,T1,A4,15,Kup,K15,T1-A4-K15,6/13/17,6/14/17,1,350,350
8,T1,A4,16,Kup,K16,T1-A4-K16,6/13/17,6/14/17,1,350,343
12,T2,A1,1,Kup,K01,T2-A1-K01,6/13/17,6/14/17,1,350,348
12,T2,A1,2,Kup,K02,T2-A1-K02,6/13/17,6/14/17,1,350,347
12,T2,A1,3,Kup,K03,T2-A1-K03,6/13/17,6/14/17,1,350,350
12,T2,A1,4,Kup,K04,T2-A1-K04,6/13/17,6/14/17,1,350,347
12,T2,A2,5,Kup,K05,T2-A2-K05,6/13/17,6/14/17,1,350,335
12,T2,A2,6,Kup,K06,T2-A2-K06,6/13/17,6/14/17,1,350,349
12,T2,A2,7,Kup,K07,T2-A2-K07,6/13/17,6/14/17,1,350,349
12,T2,A2,8,Kup,K08,T2-A2-K08,6/13/17,6/14/17,1,350,349
12,T2,A3,9,Kup,K09,T2-A3-K09,6/13/17,6/14/17,1,350,350
12,T2,A3,10,Kup,K10,T2-A3-K10,6/13/17,6/14/17,1,350,345
12,T2,A3,11,Kup,K11,T2-A3-K11,6/13/17,6/14/17,1,350,349
12,T2,A3,12,Kup,K12,T2-A3-K12,6/13/17,6/14/17,1,350,350
12,T2,A4,13,Kup,K13,T2-A4-K13,6/13/17,6/14/17,1,350,350
12,T2,A4,14,Kup,K14,T2-A4-K14,6/13/17,6/14/17,1,350,350
12,T2,A4,15,Kup,K15,T2-A4-K15,6/13/17,6/14/17,1,350,349
12,T2,A4,16,Kup,K16,T2-A4-K16,6/13/17,6/14/17,1,350,345
16,T3,A1,1,Kup,K01,T3-A1-K01,6/13/17,6/14/17,1,350,349
16,T3,A1,2,Kup,K02,T3-A1-K02,6/13/17,6/14/17,1,350,350
16,T3,A1,3,Kup,K03,T3-A1-K03,6/13/17,6/14/17,1,350,350
16,T3,A1,4,Kup,K04,T3-A1-K04,6/13/17,6/14/17,1,350,350
16,T3,A2,5,Kup,K05,T3-A2-K05,6/13/17,6/14/17,1,350,341
16,T3,A2,6,Kup,K06,T3-A2-K06,6/13/17,6/14/17,1,350,347
16,T3,A2,7,Kup,K07,T3-A2-K07,6/13/17,6/14/17,1,350,346
16,T3,A2,8,Kup,K08,T3-A2-K08,6/13/17,6/14/17,1,350,348
16,T3,A3,9,Kup,K09,T3-A3-K09,6/13/17,6/14/17,1,350,339
16,T3,A3,10,Kup,K10,T3-A3-K10,6/13/17,6/14/17,1,350,343
16,T3,A3,11,Kup,K11,T3-A3-K11,6/13/17,6/14/17,1,350,343
16,T3,A3,12,Kup,K12,T3-A3-K12,6/13/17,6/14/17,1,350,346
16,T3,A4,13,Kup,K13,T3-A4-K13,6/13/17,6/14/17,1,350,347
16,T3,A4,14,Kup,K14,T3-A4-K14,6/13/17,6/14/17,1,350,347
16,T3,A4,15,Kup,K15,T3-A4-K15,6/13/17,6/14/17,1,350,350
16,T3,A4,16,Kup,K16,T3-A4-K16,6/13/17,6/14/17,1,350,346
8,T1,A1,1,Kup,K01,T1-A1-K01,6/13/17,6/15/17,2,348,348
8,T1,A1,2,Kup,K02,T1-A1-K02,6/13/17,6/15/17,2,347,346
8,T1,A1,3,Kup,K03,T1-A1-K03,6/13/17,6/15/17,2,349,349
8,T1,A1,4,Kup,K04,T1-A1-K04,6/13/17,6/15/17,2,350,349
8,T1,A2,5,Kup,K05,T1-A2-K05,6/13/17,6/15/17,2,347,346
8,T1,A2,6,Kup,K06,T1-A2-K06,6/13/17,6/15/17,2,350,349
8,T1,A2,7,Kup,K07,T1-A2-K07,6/13/17,6/15/17,2,350,350
8,T1,A2,8,Kup,K08,T1-A2-K08,6/13/17,6/15/17,2,350,349
8,T1,A3,9,Kup,K09,T1-A3-K09,6/13/17,6/15/17,2,350,350
8,T1,A3,10,Kup,K10,T1-A3-K10,6/13/17,6/15/17,2,350,349
8,T1,A3,11,Kup,K11,T1-A3-K11,6/13/17,6/15/17,2,349,348
8,T1,A3,12,Kup,K12,T1-A3-K12,6/13/17,6/15/17,2,350,349
8,T1,A4,13,Kup,K13,T1-A4-K13,6/13/17,6/15/17,2,350,350
8,T1,A4,14,Kup,K14,T1-A4-K14,6/13/17,6/15/17,2,349,349
8,T1,A4,15,Kup,K15,T1-A4-K15,6/13/17,6/15/17,2,350,350
8,T1,A4,16,Kup,K16,T1-A4-K16,6/13/17,6/15/17,2,343,343
12,T2,A1,1,Kup,K01,T2-A1-K01,6/13/17,6/15/17,2,348,347
12,T2,A1,2,Kup,K02,T2-A1-K02,6/13/17,6/15/17,2,347,347
12,T2,A1,3,Kup,K03,T2-A1-K03,6/13/17,6/15/17,2,350,350
12,T2,A1,4,Kup,K04,T2-A1-K04,6/13/17,6/15/17,2,347,347
12,T2,A2,5,Kup,K05,T2-A2-K05,6/13/17,6/15/17,2,335,334
12,T2,A2,6,Kup,K06,T2-A2-K06,6/13/17,6/15/17,2,349,314
12,T2,A2,7,Kup,K07,T2-A2-K07,6/13/17,6/15/17,2,349,348
12,T2,A2,8,Kup,K08,T2-A2-K08,6/13/17,6/15/17,2,349,349
12,T2,A3,9,Kup,K09,T2-A3-K09,6/13/17,6/15/17,2,350,349
12,T2,A3,10,Kup,K10,T2-A3-K10,6/13/17,6/15/17,2,345,342
12,T2,A3,11,Kup,K11,T2-A3-K11,6/13/17,6/15/17,2,349,349
12,T2,A3,12,Kup,K12,T2-A3-K12,6/13/17,6/15/17,2,350,350
12,T2,A4,13,Kup,K13,T2-A4-K13,6/13/17,6/15/17,2,350,349
12,T2,A4,14,Kup,K14,T2-A4-K14,6/13/17,6/15/17,2,350,349
12,T2,A4,15,Kup,K15,T2-A4-K15,6/13/17,6/15/17,2,349,348
12,T2,A4,16,Kup,K16,T2-A4-K16,6/13/17,6/15/17,2,345,341
16,T3,A1,1,Kup,K01,T3-A1-K01,6/13/17,6/15/17,2,349,341
16,T3,A1,2,Kup,K02,T3-A1-K02,6/13/17,6/15/17,2,350,315
16,T3,A1,3,Kup,K03,T3-A1-K03,6/13/17,6/15/17,2,350,348
16,T3,A1,4,Kup,K04,T3-A1-K04,6/13/17,6/15/17,2,350,349
16,T3,A2,5,Kup,K05,T3-A2-K05,6/13/17,6/15/17,2,341,336
16,T3,A2,6,Kup,K06,T3-A2-K06,6/13/17,6/15/17,2,347,157
16,T3,A2,7,Kup,K07,T3-A2-K07,6/13/17,6/15/17,2,346,342
16,T3,A2,8,Kup,K08,T3-A2-K08,6/13/17,6/15/17,2,348,342
16,T3,A3,9,Kup,K09,T3-A3-K09,6/13/17,6/15/17,2,339,322
16,T3,A3,10,Kup,K10,T3-A3-K10,6/13/17,6/15/17,2,343,323
16,T3,A3,11,Kup,K11,T3-A3-K11,6/13/17,6/15/17,2,343,337
16,T3,A3,12,Kup,K12,T3-A3-K12,6/13/17,6/15/17,2,346,329
16,T3,A4,13,Kup,K13,T3-A4-K13,6/13/17,6/15/17,2,347,326
16,T3,A4,14,Kup,K14,T3-A4-K14,6/13/17,6/15/17,2,347,346
16,T3,A4,15,Kup,K15,T3-A4-K15,6/13/17,6/15/17,2,350,347
16,T3,A4,16,Kup,K16,T3-A4-K16,6/13/17,6/15/17,2,346,344
8,T1,A1,1,Kup,K01,T1-A1-K01,6/13/17,6/16/17,3,348,348
8,T1,A1,2,Kup,K02,T1-A1-K02,6/13/17,6/16/17,3,346,344
8,T1,A1,3,Kup,K03,T1-A1-K03,6/13/17,6/16/17,3,349,349
8,T1,A1,4,Kup,K04,T1-A1-K04,6/13/17,6/16/17,3,349,349
8,T1,A2,5,Kup,K05,T1-A2-K05,6/13/17,6/16/17,3,346,345
8,T1,A2,6,Kup,K06,T1-A2-K06,6/13/17,6/16/17,3,349,343
8,T1,A2,7,Kup,K07,T1-A2-K07,6/13/17,6/16/17,3,350,350
8,T1,A2,8,Kup,K08,T1-A2-K08,6/13/17,6/16/17,3,349,349
8,T1,A3,9,Kup,K09,T1-A3-K09,6/13/17,6/16/17,3,350,349
8,T1,A3,10,Kup,K10,T1-A3-K10,6/13/17,6/16/17,3,349,349
8,T1,A3,11,Kup,K11,T1-A3-K11,6/13/17,6/16/17,3,348,348
8,T1,A3,12,Kup,K12,T1-A3-K12,6/13/17,6/16/17,3,349,349
8,T1,A4,13,Kup,K13,T1-A4-K13,6/13/17,6/16/17,3,350,350
8,T1,A4,14,Kup,K14,T1-A4-K14,6/13/17,6/16/17,3,349,349
8,T1,A4,15,Kup,K15,T1-A4-K15,6/13/17,6/16/17,3,350,350
8,T1,A4,16,Kup,K16,T1-A4-K16,6/13/17,6/16/17,3,343,342
8,T1,A1,1,Oks 3,O1,T1-A1-O1,6/14/17,6/16/17,2,350,348
8,T1,A1,2,Oks 3,O2,T1-A1-O2,6/14/17,6/16/17,2,350,346
8,T1,A1,4,Oks 3,O4,T1-A1-O4,6/14/17,6/16/17,2,350,349
12,T2,A1,1,Kup,K01,T2-A1-K01,6/13/17,6/16/17,3,347,347
12,T2,A1,2,Kup,K02,T2-A1-K02,6/13/17,6/16/17,3,347,347
12,T2,A1,3,Kup,K03,T2-A1-K03,6/13/17,6/16/17,3,350,347
12,T2,A1,4,Kup,K04,T2-A1-K04,6/13/17,6/16/17,3,347,346
12,T2,A2,5,Kup,K05,T2-A2-K05,6/13/17,6/16/17,3,334,333
12,T2,A2,6,Kup,K06,T2-A2-K06,6/13/17,6/16/17,3,314,159
12,T2,A2,7,Kup,K07,T2-A2-K07,6/13/17,6/16/17,3,348,347
12,T2,A2,8,Kup,K08,T2-A2-K08,6/13/17,6/16/17,3,349,346
12,T2,A3,9,Kup,K09,T2-A3-K09,6/13/17,6/16/17,3,349,349
12,T2,A3,10,Kup,K10,T2-A3-K10,6/13/17,6/16/17,3,342,340
12,T2,A3,11,Kup,K11,T2-A3-K11,6/13/17,6/16/17,3,349,349
12,T2,A3,12,Kup,K12,T2-A3-K12,6/13/17,6/16/17,3,349,349
12,T2,A4,13,Kup,K13,T2-A4-K13,6/13/17,6/16/17,3,349,340
12,T2,A4,14,Kup,K14,T2-A4-K14,6/13/17,6/16/17,3,349,348
12,T2,A4,15,Kup,K15,T2-A4-K15,6/13/17,6/16/17,3,348,346
12,T2,A4,16,Kup,K16,T2-A4-K16,6/13/17,6/16/17,3,341,341
12,T2,A1,1,Oks 3,O1,T2-A1-O1,6/14/17,6/16/17,2,348,340
12,T2,A1,2,Oks 3,O2,T2-A1-O2,6/14/17,6/16/17,2,346,344
12,T2,A1,4,Oks 3,O4,T2-A1-O4,6/14/17,6/16/17,2,349,349
12,T2,A2,5,Oks 3,O5,T2-A2-O5,6/14/17,6/16/17,2,74,71
12,T2,A2,6,Oks 3,O6,T2-A2-O6,6/14/17,6/16/17,2,327,327
16,T3,A1,1,Kup,K01,T3-A1-K01,6/13/17,6/16/17,3,341,298
16,T3,A1,2,Kup,K02,T3-A1-K02,6/13/17,6/16/17,3,315,295
16,T3,A1,3,Kup,K03,T3-A1-K03,6/13/17,6/16/17,3,348,341
16,T3,A1,4,Kup,K04,T3-A1-K04,6/13/17,6/16/17,3,349,348
16,T3,A2,5,Kup,K05,T3-A2-K05,6/13/17,6/16/17,3,336,335
16,T3,A2,6,Kup,K06,T3-A2-K06,6/13/17,6/16/17,3,157,107
16,T3,A2,7,Kup,K07,T3-A2-K07,6/13/17,6/16/17,3,342,340
16,T3,A2,8,Kup,K08,T3-A2-K08,6/13/17,6/16/17,3,342,334
16,T3,A3,9,Kup,K09,T3-A3-K09,6/13/17,6/16/17,3,322,314
16,T3,A3,10,Kup,K10,T3-A3-K10,6/13/17,6/16/17,3,323,179
16,T3,A3,11,Kup,K11,T3-A3-K11,6/13/17,6/16/17,3,337,334
16,T3,A3,12,Kup,K12,T3-A3-K12,6/13/17,6/16/17,3,329,306
16,T3,A4,13,Kup,K13,T3-A4-K13,6/13/17,6/16/17,3,326,275
16,T3,A4,14,Kup,K14,T3-A4-K14,6/13/17,6/16/17,3,346,343
16,T3,A4,15,Kup,K15,T3-A4-K15,6/13/17,6/16/17,3,347,339
16,T3,A4,16,Kup,K16,T3-A4-K16,6/13/17,6/16/17,3,344,343
16,T3,A1,1,Oks 3,O1,T3-A1-O1,6/14/17,6/16/17,2,340,334
16,T3,A1,2,Oks 3,O2,T3-A1-O2,6/14/17,6/16/17,2,344,344
16,T3,A1,4,Oks 3,O4,T3-A1-O4,6/14/17,6/16/17,2,349,346
16,T3,A2,6,Oks 3,O6,T3-A2-O6,6/14/17,6/16/17,2,290,290
8,T1,A1,1,Kup,K01,T1-A1-K01,6/13/17,6/17/17,4,348,346
8,T1,A1,2,Kup,K02,T1-A1-K02,6/13/17,6/17/17,4,344,343
8,T1,A1,3,Kup,K03,T1-A1-K03,6/13/17,6/17/17,4,349,347
8,T1,A1,4,Kup,K04,T1-A1-K04,6/13/17,6/17/17,4,349,349
8,T1,A2,5,Kup,K05,T1-A2-K05,6/13/17,6/17/17,4,345,345
8,T1,A2,6,Kup,K06,T1-A2-K06,6/13/17,6/17/17,4,343,229
8,T1,A2,7,Kup,K07,T1-A2-K07,6/13/17,6/17/17,4,350,349
8,T1,A2,8,Kup,K08,T1-A2-K08,6/13/17,6/17/17,4,349,349
8,T1,A3,9,Kup,K09,T1-A3-K09,6/13/17,6/17/17,4,349,349
8,T1,A3,10,Kup,K10,T1-A3-K10,6/13/17,6/17/17,4,349,345
8,T1,A3,11,Kup,K11,T1-A3-K11,6/13/17,6/17/17,4,348,346
8,T1,A3,12,Kup,K12,T1-A3-K12,6/13/17,6/17/17,4,349,349
8,T1,A4,13,Kup,K13,T1-A4-K13,6/13/17,6/17/17,4,350,347
8,T1,A4,14,Kup,K14,T1-A4-K14,6/13/17,6/17/17,4,349,349
8,T1,A4,15,Kup,K15,T1-A4-K15,6/13/17,6/17/17,4,350,350
8,T1,A4,16,Kup,K16,T1-A4-K16,6/13/17,6/17/17,4,342,342
8,T1,A1,1,Oks 3,O1,T1-A1-O1,6/14/17,6/17/17,3,348,348
8,T1,A1,2,Oks 3,O2,T1-A1-O2,6/14/17,6/17/17,3,346,346
8,T1,A1,4,Oks 3,O4,T1-A1-O4,6/14/17,6/17/17,3,349,349
8,T1,A2,5,Oks 3,O5,T1-A2-O5,6/14/17,6/17/17,3,97,96
8,T1,A2,6,Oks 3,O6,T1-A2-O6,6/14/17,6/17/17,3,254,254
12,T2,A1,1,Kup,K01,T2-A1-K01,6/13/17,6/17/17,4,347,346
12,T2,A1,2,Kup,K02,T2-A1-K02,6/13/17,6/17/17,4,347,344
12,T2,A1,3,Kup,K03,T2-A1-K03,6/13/17,6/17/17,4,347,346
12,T2,A1,4,Kup,K04,T2-A1-K04,6/13/17,6/17/17,4,346,344
12,T2,A2,5,Kup,K05,T2-A2-K05,6/13/17,6/17/17,4,333,323
12,T2,A2,6,Kup,K06,T2-A2-K06,6/13/17,6/17/17,4,159,139
12,T2,A2,7,Kup,K07,T2-A2-K07,6/13/17,6/17/17,4,347,346
12,T2,A2,8,Kup,K08,T2-A2-K08,6/13/17,6/17/17,4,346,344
12,T2,A3,9,Kup,K09,T2-A3-K09,6/13/17,6/17/17,4,349,348
12,T2,A3,10,Kup,K10,T2-A3-K10,6/13/17,6/17/17,4,340,339
12,T2,A3,11,Kup,K11,T2-A3-K11,6/13/17,6/17/17,4,349,347
12,T2,A3,12,Kup,K12,T2-A3-K12,6/13/17,6/17/17,4,349,348
12,T2,A4,13,Kup,K13,T2-A4-K13,6/13/17,6/17/17,4,340,335
12,T2,A4,14,Kup,K14,T2-A4-K14,6/13/17,6/17/17,4,348,348
12,T2,A4,15,Kup,K15,T2-A4-K15,6/13/17,6/17/17,4,346,345
12,T2,A4,16,Kup,K16,T2-A4-K16,6/13/17,6/17/17,4,341,341
12,T2,A1,1,Oks 3,O1,T2-A1-O1,6/14/17,6/17/17,3,340,338
12,T2,A1,2,Oks 3,O2,T2-A1-O2,6/14/17,6/17/17,3,344,343
12,T2,A1,4,Oks 3,O4,T2-A1-O4,6/14/17,6/17/17,3,349,346
12,T2,A2,5,Oks 3,O5,T2-A2-O5,6/14/17,6/17/17,3,71,70
12,T2,A2,6,Oks 3,O6,T2-A2-O6,6/14/17,6/17/17,3,327,327
16,T3,A1,1,Kup,K01,T3-A1-K01,6/13/17,6/17/17,4,298,246
16,T3,A1,2,Kup,K02,T3-A1-K02,6/13/17,6/17/17,4,295,282
16,T3,A1,3,Kup,K03,T3-A1-K03,6/13/17,6/17/17,4,341,338
16,T3,A1,4,Kup,K04,T3-A1-K04,6/13/17,6/17/17,4,348,342
16,T3,A2,5,Kup,K05,T3-A2-K05,6/13/17,6/17/17,4,335,332
16,T3,A2,6,Kup,K06,T3-A2-K06,6/13/17,6/17/17,4,107,73
16,T3,A2,7,Kup,K07,T3-A2-K07,6/13/17,6/17/17,4,340,334
16,T3,A2,8,Kup,K08,T3-A2-K08,6/13/17,6/17/17,4,334,330
16,T3,A3,9,Kup,K09,T3-A3-K09,6/13/17,6/17/17,4,314,312
16,T3,A3,10,Kup,K10,T3-A3-K10,6/13/17,6/17/17,4,179,104
16,T3,A3,11,Kup,K11,T3-A3-K11,6/13/17,6/17/17,4,334,332
16,T3,A3,12,Kup,K12,T3-A3-K12,6/13/17,6/17/17,4,306,304
16,T3,A4,13,Kup,K13,T3-A4-K13,6/13/17,6/17/17,4,275,266
16,T3,A4,14,Kup,K14,T3-A4-K14,6/13/17,6/17/17,4,343,335
16,T3,A4,15,Kup,K15,T3-A4-K15,6/13/17,6/17/17,4,339,325
16,T3,A4,16,Kup,K16,T3-A4-K16,6/13/17,6/17/17,4,343,326
16,T3,A1,1,Oks 3,O1,T3-A1-O1,6/14/17,6/17/17,3,334,321
16,T3,A1,2,Oks 3,O2,T3-A1-O2,6/14/17,6/17/17,3,344,330
16,T3,A1,4,Oks 3,O4,T3-A1-O4,6/14/17,6/17/17,3,346,284
16,T3,A2,6,Oks 3,O6,T3-A2-O6,6/14/17,6/17/17,3,290,290
8,T1,A1,1,Oks 3,O1,T1-A1-O1,6/14/17,6/18/17,4,348,346
8,T1,A1,2,Oks 3,O2,T1-A1-O2,6/14/17,6/18/17,4,346,344
8,T1,A1,4,Oks 3,O4,T1-A1-O4,6/14/17,6/18/17,4,349,347
8,T1,A2,5,Oks 3,O5,T1-A2-O5,6/14/17,6/18/17,4,96,96
8,T1,A2,6,Oks 3,O6,T1-A2-O6,6/14/17,6/18/17,4,254,254
12,T2,A1,1,Oks 3,O1,T2-A1-O1,6/14/17,6/18/17,4,338,333
12,T2,A1,2,Oks 3,O2,T2-A1-O2,6/14/17,6/18/17,4,343,335
12,T2,A1,4,Oks 3,O4,T2-A1-O4,6/14/17,6/18/17,4,346,285
12,T2,A2,5,Oks 3,O5,T2-A2-O5,6/14/17,6/18/17,4,70,70
12,T2,A2,6,Oks 3,O6,T2-A2-O6,6/14/17,6/18/17,4,327,327
16,T3,A1,1,Oks 3,O1,T3-A1-O1,6/14/17,6/18/17,4,321,307
16,T3,A1,2,Oks 3,O2,T3-A1-O2,6/14/17,6/18/17,4,330,317
16,T3,A1,4,Oks 3,O4,T3-A1-O4,6/14/17,6/18/17,4,284,225
16,T3,A2,6,Oks 3,O6,T3-A2-O6,6/14/17,6/18/17,4,290,287
8,T1,A1,1,Kup,K01,T1-A1-K01,6/13/17,6/23/17,10,334,322
8,T1,A1,2,Kup,K02,T1-A1-K02,6/13/17,6/23/17,10,328,318
8,T1,A1,3,Kup,K03,T1-A1-K03,6/13/17,6/23/17,10,340,330
8,T1,A1,4,Kup,K04,T1-A1-K04,6/13/17,6/23/17,10,334,323
8,T1,A2,5,Kup,K05,T1-A2-K05,6/13/17,6/23/17,10,337,331
8,T1,A2,6,Kup,K06,T1-A2-K06,6/13/17,6/23/17,10,66,57
8,T1,A2,7,Kup,K07,T1-A2-K07,6/13/17,6/23/17,10,341,331
